,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,507.0,506.0,400.0,508.8,499.24444444444447,546.8,513.0,506.0,633.0,509.0,509.0,509.0,509.0,509.0,509.0,513.0,513.0,513.0,513.0,506.0,506.0,506.0,506.0,506.0,507.0,507.0,507.0,507.0,507.0,501.0,501.0,501.0,501.0,501.0,501.0,485.0,485.0,485.0,485.0,493.0,493.0,493.0,493.0,493.0,506.0,506.0,506.0,506.0,506.0,559.0,559.0,559.0,559.0,559.0,559.0,633.0,633.0,633.0,633.0,549.0,549.0,549.0,549.0,549.0,400.0,400.0,400.0,400.0,400.0,7.0,21.0,233.0,506.0,485.0,400.0
0,515.0,515.0,356.0,508.93333333333334,499.68888888888887,530.4666666666667,515.0,515.0,633.0,509.0,509.0,509.0,513.0,513.0,513.0,513.0,506.0,506.0,506.0,506.0,507.0,507.0,507.0,507.0,507.0,509.0,509.0,515.0,515.0,501.0,501.0,501.0,485.0,485.0,485.0,485.0,493.0,493.0,493.0,493.0,506.0,506.0,506.0,506.0,506.0,504.0,504.0,515.0,515.0,559.0,559.0,559.0,633.0,633.0,633.0,633.0,549.0,549.0,549.0,549.0,400.0,400.0,400.0,400.0,400.0,293.0,293.0,356.0,356.0,9.0,30.0,340.0,506.0,485.0,293.0
0,515.0,515.0,356.0,509.46666666666664,500.93333333333334,512.4222222222222,515.0,515.0,633.0,513.0,513.0,513.0,506.0,506.0,506.0,506.0,506.0,507.0,507.0,507.0,507.0,507.0,509.0,509.0,515.0,515.0,515.0,515.0,515.0,485.0,485.0,485.0,493.0,493.0,493.0,493.0,493.0,506.0,506.0,506.0,506.0,506.0,504.0,504.0,515.0,515.0,515.0,515.0,524.0,633.0,633.0,633.0,549.0,549.0,549.0,549.0,549.0,400.0,400.0,400.0,400.0,400.0,293.0,293.0,356.0,356.0,356.0,356.0,428.0,9.0,30.0,340.0,506.0,485.0,293.0
0,499.0,533.0,506.0,509.4222222222222,503.8888888888889,501.3333333333333,515.0,533.0,549.0,506.0,506.0,506.0,507.0,507.0,507.0,507.0,507.0,509.0,509.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,499.0,499.0,493.0,493.0,493.0,506.0,506.0,506.0,506.0,506.0,504.0,504.0,515.0,515.0,515.0,515.0,515.0,524.0,524.0,524.0,533.0,533.0,549.0,549.0,549.0,400.0,400.0,400.0,400.0,400.0,293.0,293.0,356.0,356.0,356.0,356.0,356.0,428.0,428.0,428.0,506.0,506.0,16.0,48.0,340.0,499.0,493.0,293.0
0,518.0,541.0,499.0,509.3777777777778,507.0888888888889,496.31111111111113,518.0,541.0,506.0,507.0,507.0,507.0,507.0,509.0,509.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,499.0,499.0,499.0,499.0,518.0,518.0,518.0,506.0,506.0,506.0,506.0,504.0,504.0,515.0,515.0,515.0,515.0,515.0,524.0,524.0,533.0,533.0,533.0,533.0,541.0,541.0,541.0,400.0,400.0,400.0,400.0,293.0,293.0,356.0,356.0,356.0,356.0,356.0,428.0,428.0,506.0,506.0,506.0,506.0,499.0,499.0,499.0,19.0,56.0,340.0,499.0,504.0,293.0
0,505.0,549.0,499.0,509.8888888888889,510.8222222222222,490.97777777777776,518.0,549.0,506.0,509.0,509.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,499.0,499.0,499.0,499.0,518.0,518.0,518.0,518.0,518.0,505.0,504.0,504.0,515.0,515.0,515.0,515.0,515.0,524.0,524.0,524.0,533.0,533.0,533.0,533.0,541.0,541.0,541.0,541.0,541.0,549.0,293.0,293.0,356.0,356.0,356.0,356.0,356.0,428.0,428.0,428.0,506.0,506.0,506.0,506.0,499.0,499.0,499.0,499.0,499.0,499.0,19.0,64.0,340.0,499.0,504.0,293.0
0,510.0,548.0,513.0,509.64444444444445,515.0666666666667,485.9555555555556,518.0,549.0,513.0,515.0,515.0,515.0,515.0,515.0,515.0,499.0,499.0,499.0,499.0,518.0,518.0,518.0,518.0,518.0,505.0,505.0,505.0,505.0,510.0,515.0,515.0,515.0,524.0,524.0,524.0,533.0,533.0,533.0,533.0,541.0,541.0,541.0,541.0,541.0,549.0,549.0,549.0,549.0,548.0,356.0,356.0,356.0,428.0,428.0,428.0,506.0,506.0,506.0,506.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,513.0,19.0,64.0,340.0,499.0,515.0,356.0
0,518.0,546.0,540.0,510.0888888888889,519.1555555555556,483.06666666666666,518.0,549.0,540.0,515.0,515.0,499.0,499.0,499.0,499.0,518.0,518.0,518.0,518.0,518.0,505.0,505.0,505.0,505.0,510.0,510.0,510.0,518.0,518.0,524.0,524.0,533.0,533.0,533.0,533.0,541.0,541.0,541.0,541.0,541.0,549.0,549.0,549.0,549.0,548.0,548.0,548.0,546.0,546.0,428.0,428.0,506.0,506.0,506.0,506.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,513.0,513.0,513.0,540.0,540.0,19.0,64.0,340.0,499.0,524.0,428.0
0,512.0,537.0,588.0,510.64444444444445,524.4666666666667,479.8,518.0,549.0,588.0,499.0,518.0,518.0,518.0,518.0,518.0,505.0,505.0,505.0,505.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,518.0,512.0,512.0,533.0,541.0,541.0,541.0,541.0,541.0,549.0,549.0,549.0,549.0,548.0,548.0,548.0,546.0,546.0,546.0,546.0,546.0,537.0,537.0,506.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,513.0,513.0,513.0,540.0,540.0,540.0,540.0,540.0,588.0,588.0,19.0,64.0,340.0,499.0,533.0,499.0
