,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,518.0,494.0,494.0,40.0,15.0,31.0,500.0,494.0,490.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,536.0,536.0,536.0,536.0,536.0,500.0,500.0,500.0,500.0,500.0,518.0,503.0,503.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,505.0,505.0,505.0,505.0,505.0,499.0,499.0,499.0,499.0,499.0,494.0,502.0,502.0,502.0,502.0,496.0,496.0,496.0,496.0,496.0,492.0,492.0,492.0,492.0,492.0,490.0,490.0,490.0,490.0,490.0,494.0,507.7111111111111,504.26666666666665,504.5111111111111,536.0,505.0,502.0
0,512.0,494.0,487.0,40.0,15.0,33.0,500.0,494.0,487.0,502.0,502.0,502.0,502.0,536.0,536.0,536.0,536.0,536.0,500.0,500.0,500.0,500.0,500.0,518.0,518.0,518.0,518.0,512.0,512.0,504.0,504.0,504.0,504.0,505.0,505.0,505.0,505.0,505.0,499.0,499.0,499.0,499.0,499.0,494.0,494.0,494.0,494.0,494.0,494.0,496.0,496.0,496.0,496.0,492.0,492.0,492.0,492.0,492.0,490.0,490.0,490.0,490.0,490.0,494.0,494.0,494.0,494.0,487.0,487.0,508.1777777777778,502.9111111111111,501.22222222222223,536.0,505.0,496.0
0,512.0,494.0,487.0,40.0,15.0,33.0,500.0,494.0,487.0,502.0,536.0,536.0,536.0,536.0,536.0,500.0,500.0,500.0,500.0,500.0,518.0,518.0,518.0,518.0,512.0,512.0,512.0,512.0,512.0,504.0,505.0,505.0,505.0,505.0,505.0,499.0,499.0,499.0,499.0,499.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,496.0,492.0,492.0,492.0,492.0,492.0,490.0,490.0,490.0,490.0,490.0,494.0,494.0,494.0,494.0,487.0,487.0,487.0,487.0,487.0,508.1111111111111,502.31111111111113,499.02222222222224,536.0,505.0,496.0
0,500.0,500.0,485.0,40.0,15.0,33.0,500.0,494.0,485.0,536.0,536.0,536.0,500.0,500.0,500.0,500.0,500.0,518.0,518.0,518.0,518.0,512.0,512.0,512.0,512.0,512.0,500.0,500.0,500.0,505.0,505.0,505.0,499.0,499.0,499.0,499.0,499.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,500.0,500.0,500.0,492.0,492.0,492.0,490.0,490.0,490.0,490.0,490.0,494.0,494.0,494.0,494.0,487.0,487.0,487.0,487.0,487.0,485.0,485.0,485.0,507.6,501.84444444444443,496.77777777777777,536.0,505.0,494.0
0,509.0,505.0,487.0,40.0,14.0,21.0,500.0,494.0,485.0,500.0,500.0,500.0,518.0,518.0,518.0,518.0,512.0,512.0,512.0,512.0,512.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,509.0,499.0,499.0,499.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,500.0,500.0,500.0,505.0,505.0,505.0,505.0,505.0,490.0,490.0,490.0,494.0,494.0,494.0,494.0,487.0,487.0,487.0,487.0,487.0,485.0,485.0,485.0,487.0,487.0,487.0,487.0,487.0,508.0444444444444,501.44444444444446,493.8666666666667,518.0,505.0,494.0
0,512.0,513.0,496.0,40.0,19.0,17.0,500.0,494.0,485.0,518.0,518.0,512.0,512.0,512.0,512.0,512.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,509.0,513.0,513.0,513.0,513.0,512.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,500.0,500.0,500.0,505.0,505.0,505.0,505.0,505.0,507.0,507.0,507.0,507.0,513.0,494.0,494.0,487.0,487.0,487.0,487.0,487.0,485.0,485.0,485.0,487.0,487.0,487.0,487.0,487.0,488.0,488.0,488.0,488.0,496.0,509.31111111111113,501.68888888888887,492.26666666666665,518.0,513.0,496.0
0,502.0,523.0,496.0,36.0,29.0,17.0,500.0,494.0,485.0,512.0,512.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,509.0,513.0,513.0,513.0,513.0,512.0,512.0,512.0,512.0,512.0,502.0,494.0,494.0,500.0,500.0,500.0,505.0,505.0,505.0,505.0,505.0,507.0,507.0,507.0,507.0,513.0,513.0,513.0,513.0,513.0,523.0,487.0,487.0,485.0,485.0,485.0,487.0,487.0,487.0,487.0,487.0,488.0,488.0,488.0,488.0,496.0,496.0,496.0,496.0,496.0,496.0,510.68888888888887,503.02222222222224,491.6666666666667,513.0,523.0,496.0
0,513.0,525.0,502.0,36.0,31.0,17.0,502.0,505.0,487.0,509.0,509.0,509.0,509.0,509.0,513.0,513.0,513.0,513.0,512.0,512.0,512.0,512.0,512.0,502.0,502.0,502.0,502.0,502.0,513.0,505.0,505.0,505.0,505.0,505.0,507.0,507.0,507.0,507.0,513.0,513.0,513.0,513.0,513.0,523.0,523.0,523.0,523.0,523.0,525.0,487.0,487.0,487.0,487.0,487.0,488.0,488.0,488.0,488.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,502.0,511.06666666666666,505.24444444444447,491.4,513.0,525.0,502.0
0,505.0,523.0,504.0,36.0,31.0,19.0,502.0,507.0,488.0,513.0,513.0,513.0,513.0,512.0,512.0,512.0,512.0,512.0,502.0,502.0,502.0,502.0,513.0,513.0,513.0,513.0,513.0,505.0,505.0,507.0,507.0,507.0,507.0,513.0,513.0,513.0,513.0,513.0,523.0,523.0,523.0,523.0,525.0,525.0,525.0,525.0,525.0,523.0,523.0,488.0,488.0,488.0,488.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,502.0,504.0,504.0,510.6,507.4888888888889,492.2888888888889,513.0,525.0,504.0
0,518.0,521.0,504.0,18.0,31.0,19.0,502.0,513.0,496.0,512.0,512.0,512.0,512.0,502.0,502.0,502.0,502.0,502.0,513.0,513.0,513.0,513.0,513.0,505.0,505.0,505.0,505.0,505.0,518.0,513.0,513.0,513.0,513.0,523.0,523.0,523.0,523.0,523.0,525.0,525.0,525.0,525.0,525.0,523.0,523.0,523.0,523.0,523.0,521.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,502.0,504.0,504.0,504.0,504.0,504.0,504.0,509.0444444444444,509.7111111111111,493.7111111111111,518.0,525.0,504.0
0,508.0,519.0,500.0,18.0,31.0,19.0,502.0,519.0,496.0,502.0,502.0,502.0,502.0,513.0,513.0,513.0,513.0,513.0,505.0,505.0,505.0,505.0,505.0,518.0,518.0,518.0,518.0,508.0,508.0,523.0,523.0,523.0,523.0,525.0,525.0,525.0,525.0,525.0,523.0,523.0,523.0,523.0,523.0,521.0,521.0,521.0,521.0,519.0,519.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,502.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,500.0,500.0,509.8,512.2888888888889,494.9111111111111,518.0,525.0,504.0
