,emg_max_0,emg_max_1,emg_max_2,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_min_0,emg_min_1,emg_min_2,emg_ampl_0,emg_ampl_1,emg_ampl_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,513.0,513.0,556.0,509.0,511.0,556.0,508.55555555555554,506.0,516.8888888888889,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,510.0,513.0,513.0,513.0,513.0,513.0,510.0,510.0,510.0,510.0,510.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,517.0,526.0,526.0,526.0,526.0,526.0,538.0,538.0,538.0,538.0,538.0,550.0,550.0,550.0,550.0,556.0,556.0,556.0,556.0,556.0,558.0,508.0,510.0,526.0,10.0,20.0,74.0
0,512.0,517.0,558.0,512.0,507.0,547.0,509.3777777777778,508.44444444444446,524.4222222222222,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,510.0,510.0,510.0,510.0,512.0,510.0,510.0,510.0,510.0,510.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,517.0,517.0,517.0,517.0,507.0,538.0,538.0,538.0,538.0,538.0,550.0,550.0,550.0,550.0,550.0,556.0,556.0,556.0,556.0,556.0,558.0,558.0,558.0,558.0,547.0,508.0,507.0,538.0,5.0,23.0,76.0
0,512.0,517.0,558.0,509.0,508.0,534.0,509.4888888888889,509.6222222222222,529.9111111111112,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,509.0,509.0,510.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,517.0,517.0,517.0,517.0,507.0,507.0,507.0,507.0,508.0,508.0,538.0,550.0,550.0,550.0,550.0,550.0,556.0,556.0,556.0,556.0,558.0,558.0,558.0,558.0,547.0,547.0,547.0,547.0,534.0,534.0,508.0,507.0,534.0,5.0,23.0,76.0
0,512.0,517.0,558.0,504.0,507.0,525.0,509.44444444444446,510.44444444444446,535.1333333333333,508.0,509.0,509.0,509.0,509.0,509.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,504.0,504.0,511.0,511.0,511.0,511.0,511.0,511.0,517.0,517.0,517.0,517.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,508.0,507.0,507.0,550.0,556.0,556.0,556.0,556.0,556.0,558.0,558.0,558.0,558.0,547.0,547.0,547.0,534.0,534.0,534.0,534.0,534.0,525.0,525.0,504.0,507.0,525.0,9.0,15.0,72.0
0,512.0,517.0,558.0,504.0,515.0,517.0,509.02222222222224,510.53333333333336,537.0888888888888,509.0,509.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,504.0,511.0,511.0,517.0,517.0,517.0,517.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,508.0,507.0,507.0,507.0,515.0,515.0,556.0,556.0,558.0,558.0,558.0,558.0,547.0,547.0,547.0,547.0,534.0,534.0,534.0,534.0,525.0,525.0,525.0,525.0,517.0,517.0,504.0,507.0,517.0,9.0,10.0,52.0
0,512.0,517.0,558.0,505.0,516.0,496.0,508.6,511.0,536.9777777777778,510.0,510.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,505.0,505.0,517.0,517.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,508.0,507.0,507.0,507.0,507.0,515.0,515.0,515.0,516.0,516.0,558.0,558.0,547.0,547.0,547.0,547.0,534.0,534.0,534.0,534.0,534.0,525.0,525.0,525.0,525.0,517.0,517.0,517.0,496.0,496.0,504.0,507.0,496.0,9.0,10.0,62.0
0,512.0,516.0,547.0,500.0,515.0,493.0,507.8666666666667,511.5111111111111,533.9777777777778,512.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,505.0,505.0,505.0,505.0,505.0,500.0,507.0,508.0,508.0,508.0,508.0,508.0,507.0,507.0,507.0,507.0,515.0,515.0,515.0,515.0,516.0,516.0,516.0,516.0,516.0,515.0,547.0,534.0,534.0,534.0,534.0,534.0,525.0,525.0,525.0,525.0,517.0,517.0,517.0,517.0,496.0,496.0,496.0,496.0,496.0,493.0,500.0,507.0,493.0,13.0,10.0,65.0
0,509.0,516.0,534.0,507.0,507.0,493.0,506.8,511.68888888888887,529.7777777777778,509.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,507.0,508.0,507.0,507.0,507.0,507.0,515.0,515.0,515.0,515.0,516.0,516.0,516.0,516.0,516.0,515.0,515.0,515.0,515.0,515.0,507.0,534.0,525.0,525.0,525.0,525.0,517.0,517.0,517.0,517.0,496.0,496.0,496.0,496.0,496.0,493.0,493.0,493.0,493.0,493.0,493.0,500.0,507.0,493.0,12.0,10.0,65.0
0,507.0,516.0,517.0,502.0,512.0,478.0,506.5777777777778,511.4222222222222,523.9111111111112,504.0,504.0,504.0,504.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,507.0,507.0,507.0,507.0,507.0,502.0,515.0,515.0,515.0,515.0,516.0,516.0,516.0,516.0,516.0,515.0,515.0,515.0,515.0,515.0,507.0,507.0,507.0,507.0,507.0,512.0,517.0,517.0,517.0,517.0,496.0,496.0,496.0,496.0,496.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,478.0,500.0,507.0,478.0,12.0,10.0,80.0
0,507.0,516.0,496.0,503.0,498.0,473.0,505.8888888888889,511.22222222222223,515.5333333333333,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,507.0,507.0,507.0,507.0,507.0,502.0,502.0,502.0,502.0,502.0,503.0,516.0,516.0,516.0,516.0,515.0,515.0,515.0,515.0,515.0,507.0,507.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,512.0,498.0,496.0,496.0,496.0,496.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,478.0,478.0,478.0,478.0,478.0,473.0,500.0,498.0,473.0,12.0,19.0,85.0
0,507.0,515.0,493.0,506.0,497.0,483.0,505.24444444444447,509.4888888888889,506.44444444444446,500.0,500.0,500.0,500.0,507.0,507.0,507.0,507.0,507.0,502.0,502.0,502.0,502.0,502.0,503.0,503.0,503.0,503.0,503.0,506.0,515.0,515.0,515.0,515.0,507.0,507.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,512.0,498.0,498.0,498.0,498.0,498.0,497.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,478.0,478.0,478.0,478.0,478.0,473.0,473.0,473.0,473.0,473.0,483.0,500.0,497.0,473.0,12.0,20.0,85.0
0,507.0,512.0,493.0,505.0,489.0,491.0,504.75555555555553,507.8,500.6222222222222,507.0,507.0,507.0,507.0,507.0,502.0,502.0,502.0,502.0,502.0,503.0,503.0,503.0,503.0,503.0,506.0,506.0,506.0,505.0,505.0,507.0,507.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,512.0,498.0,498.0,498.0,498.0,498.0,497.0,497.0,497.0,489.0,489.0,493.0,493.0,493.0,493.0,493.0,478.0,478.0,478.0,478.0,478.0,473.0,473.0,473.0,473.0,473.0,483.0,483.0,483.0,491.0,491.0,502.0,489.0,473.0,12.0,27.0,74.0
0,514.0,512.0,494.0,514.0,482.0,494.0,504.3777777777778,505.5777777777778,495.3333333333333,502.0,502.0,502.0,502.0,502.0,503.0,503.0,503.0,503.0,503.0,506.0,506.0,506.0,505.0,505.0,505.0,505.0,505.0,505.0,514.0,512.0,512.0,512.0,512.0,512.0,498.0,498.0,498.0,498.0,498.0,497.0,497.0,497.0,489.0,489.0,489.0,489.0,489.0,489.0,482.0,478.0,478.0,478.0,478.0,478.0,473.0,473.0,473.0,473.0,473.0,483.0,483.0,483.0,491.0,491.0,491.0,491.0,491.0,491.0,494.0,502.0,482.0,473.0,14.0,34.0,61.0
0,514.0,498.0,494.0,511.0,492.0,485.0,505.2,502.97777777777776,491.2888888888889,503.0,503.0,503.0,503.0,503.0,506.0,506.0,506.0,505.0,505.0,505.0,505.0,505.0,505.0,514.0,514.0,514.0,514.0,511.0,511.0,498.0,498.0,498.0,498.0,498.0,497.0,497.0,497.0,489.0,489.0,489.0,489.0,489.0,489.0,482.0,482.0,482.0,482.0,492.0,492.0,473.0,473.0,473.0,473.0,473.0,483.0,483.0,483.0,491.0,491.0,491.0,491.0,491.0,491.0,494.0,494.0,494.0,494.0,485.0,485.0,503.0,482.0,473.0,14.0,34.0,52.0
0,514.0,504.0,494.0,507.0,504.0,484.0,505.93333333333334,500.6,487.26666666666665,506.0,506.0,505.0,505.0,505.0,505.0,505.0,505.0,514.0,514.0,514.0,514.0,514.0,511.0,511.0,511.0,511.0,511.0,507.0,507.0,497.0,497.0,489.0,489.0,489.0,489.0,489.0,489.0,482.0,482.0,482.0,482.0,482.0,492.0,492.0,492.0,492.0,492.0,504.0,504.0,483.0,483.0,491.0,491.0,491.0,491.0,491.0,491.0,494.0,494.0,494.0,494.0,494.0,485.0,485.0,485.0,485.0,485.0,484.0,484.0,505.0,482.0,483.0,14.0,34.0,23.0
