,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_min_0,emg_min_1,emg_min_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,507.75555555555553,510.3333333333333,518.2444444444444,512.0,454.0,501.0,499.0,454.0,498.0,26.0,110.0,38.0,512.0,504.0,529.0,499.0,499.0,499.0,499.0,504.0,504.0,504.0,504.0,504.0,510.0,510.0,510.0,510.0,510.0,505.0,505.0,505.0,505.0,505.0,512.0,504.0,504.0,504.0,504.0,489.0,489.0,489.0,489.0,489.0,459.0,459.0,459.0,459.0,459.0,456.0,456.0,456.0,456.0,456.0,454.0,529.0,529.0,529.0,529.0,511.0,511.0,511.0,511.0,511.0,498.0,498.0,498.0,498.0,498.0,506.0,506.0,506.0,506.0,506.0,501.0
0,507.0,498.46666666666664,516.2888888888889,495.0,458.0,492.0,495.0,454.0,492.0,30.0,98.0,44.0,512.0,489.0,511.0,504.0,504.0,504.0,504.0,510.0,510.0,510.0,510.0,510.0,505.0,505.0,505.0,505.0,505.0,512.0,512.0,512.0,512.0,512.0,495.0,489.0,489.0,489.0,489.0,459.0,459.0,459.0,459.0,459.0,456.0,456.0,456.0,456.0,456.0,454.0,454.0,454.0,454.0,454.0,458.0,511.0,511.0,511.0,511.0,498.0,498.0,498.0,498.0,498.0,506.0,506.0,506.0,506.0,506.0,501.0,501.0,501.0,501.0,501.0,492.0
0,504.4888888888889,490.24444444444447,513.7333333333333,502.0,464.0,505.0,495.0,454.0,492.0,17.0,94.0,44.0,512.0,464.0,506.0,510.0,510.0,510.0,510.0,510.0,505.0,505.0,505.0,505.0,505.0,512.0,512.0,512.0,512.0,512.0,495.0,495.0,495.0,495.0,502.0,459.0,459.0,459.0,459.0,459.0,456.0,456.0,456.0,456.0,456.0,454.0,454.0,454.0,454.0,454.0,458.0,458.0,458.0,458.0,464.0,498.0,498.0,498.0,498.0,498.0,506.0,506.0,506.0,506.0,506.0,501.0,501.0,501.0,501.0,501.0,492.0,492.0,492.0,492.0,505.0
0,504.06666666666666,482.75555555555553,510.97777777777776,503.0,463.0,505.0,495.0,454.0,492.0,17.0,94.0,44.0,512.0,464.0,506.0,510.0,505.0,505.0,505.0,505.0,505.0,512.0,512.0,512.0,512.0,512.0,495.0,495.0,495.0,495.0,502.0,502.0,502.0,502.0,503.0,459.0,456.0,456.0,456.0,456.0,456.0,454.0,454.0,454.0,454.0,454.0,458.0,458.0,458.0,458.0,464.0,464.0,464.0,464.0,463.0,498.0,506.0,506.0,506.0,506.0,506.0,501.0,501.0,501.0,501.0,501.0,492.0,492.0,492.0,492.0,505.0,505.0,505.0,505.0,505.0
0,504.0444444444444,476.93333333333334,508.55555555555554,512.0,466.0,496.0,495.0,454.0,492.0,17.0,69.0,37.0,512.0,466.0,506.0,505.0,505.0,512.0,512.0,512.0,512.0,512.0,495.0,495.0,495.0,495.0,502.0,502.0,502.0,502.0,503.0,503.0,503.0,503.0,512.0,456.0,456.0,454.0,454.0,454.0,454.0,454.0,458.0,458.0,458.0,458.0,464.0,464.0,464.0,464.0,463.0,463.0,463.0,463.0,466.0,506.0,506.0,501.0,501.0,501.0,501.0,501.0,492.0,492.0,492.0,492.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,496.0
0,504.5111111111111,473.75555555555553,507.02222222222224,509.0,491.0,515.0,495.0,454.0,492.0,17.0,66.0,37.0,512.0,491.0,515.0,512.0,512.0,512.0,512.0,495.0,495.0,495.0,495.0,502.0,502.0,502.0,502.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,509.0,454.0,454.0,454.0,454.0,458.0,458.0,458.0,458.0,464.0,464.0,464.0,464.0,463.0,463.0,463.0,463.0,466.0,466.0,466.0,491.0,501.0,501.0,501.0,501.0,492.0,492.0,492.0,492.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,496.0,496.0,496.0,515.0
0,505.02222222222224,471.73333333333335,506.24444444444447,511.0,487.0,495.0,495.0,454.0,492.0,17.0,66.0,37.0,512.0,491.0,515.0,512.0,495.0,495.0,495.0,495.0,502.0,502.0,502.0,502.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,509.0,509.0,509.0,511.0,454.0,458.0,458.0,458.0,458.0,464.0,464.0,464.0,464.0,463.0,463.0,463.0,463.0,466.0,466.0,466.0,491.0,491.0,491.0,487.0,501.0,492.0,492.0,492.0,492.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,496.0,496.0,496.0,515.0,515.0,515.0,495.0
0,505.75555555555553,470.24444444444447,504.1777777777778,511.0,487.0,495.0,495.0,458.0,492.0,17.0,50.0,37.0,512.0,491.0,515.0,495.0,495.0,502.0,502.0,502.0,502.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,509.0,509.0,509.0,511.0,511.0,511.0,511.0,458.0,458.0,464.0,464.0,464.0,464.0,463.0,463.0,463.0,463.0,466.0,466.0,466.0,491.0,491.0,491.0,487.0,487.0,487.0,487.0,492.0,492.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,496.0,496.0,496.0,515.0,515.0,515.0,495.0,495.0,495.0,495.0
0,506.8222222222222,470.6222222222222,502.31111111111113,513.0,521.0,521.0,502.0,463.0,491.0,21.0,67.0,30.0,516.0,521.0,521.0,502.0,502.0,502.0,503.0,503.0,503.0,503.0,512.0,512.0,512.0,509.0,509.0,509.0,511.0,511.0,511.0,511.0,516.0,516.0,513.0,464.0,464.0,464.0,463.0,463.0,463.0,463.0,466.0,466.0,466.0,491.0,491.0,491.0,487.0,487.0,487.0,487.0,504.0,504.0,521.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,496.0,496.0,496.0,515.0,515.0,515.0,495.0,495.0,495.0,495.0,491.0,491.0,521.0
