,emg_max_0,emg_max_1,emg_max_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,511.0,480.0,653.0,29.0,124.0,169.0,498.0,434.0,511.0,503.0,507.0,507.0,507.0,507.0,507.0,498.0,498.0,498.0,498.0,498.0,509.0,509.0,509.0,509.0,511.0,511.0,511.0,511.0,511.0,480.0,442.0,442.0,442.0,442.0,442.0,457.0,457.0,457.0,457.0,457.0,445.0,445.0,445.0,445.0,434.0,434.0,434.0,434.0,434.0,511.0,539.0,539.0,539.0,539.0,539.0,584.0,584.0,584.0,584.0,584.0,637.0,637.0,637.0,637.0,653.0,653.0,653.0,653.0,653.0,504.2,490.6,540.7333333333333,511.0,434.0,653.0
0,511.0,457.0,653.0,15.0,124.0,169.0,498.0,434.0,539.0,507.0,507.0,498.0,498.0,498.0,498.0,498.0,509.0,509.0,509.0,509.0,511.0,511.0,511.0,511.0,511.0,501.0,501.0,501.0,503.0,442.0,442.0,457.0,457.0,457.0,457.0,457.0,445.0,445.0,445.0,445.0,434.0,434.0,434.0,434.0,434.0,451.0,451.0,451.0,465.0,539.0,539.0,584.0,584.0,584.0,584.0,584.0,637.0,637.0,637.0,637.0,653.0,653.0,653.0,653.0,653.0,599.0,599.0,599.0,537.0,503.35555555555555,482.6222222222222,551.6,501.0,451.0,599.0
0,511.0,465.0,653.0,15.0,124.0,169.0,498.0,434.0,537.0,498.0,498.0,498.0,509.0,509.0,509.0,509.0,509.0,511.0,511.0,511.0,511.0,511.0,501.0,501.0,501.0,503.0,503.0,503.0,503.0,457.0,457.0,457.0,445.0,445.0,445.0,445.0,445.0,434.0,434.0,434.0,434.0,434.0,451.0,451.0,451.0,465.0,465.0,465.0,465.0,584.0,584.0,584.0,637.0,637.0,637.0,637.0,637.0,653.0,653.0,653.0,653.0,653.0,599.0,599.0,599.0,537.0,537.0,537.0,537.0,503.4,476.0444444444444,555.6444444444444,503.0,465.0,537.0
0,511.0,499.0,653.0,14.0,124.0,169.0,497.0,434.0,506.0,509.0,509.0,509.0,509.0,511.0,511.0,511.0,511.0,511.0,501.0,501.0,503.0,503.0,503.0,503.0,497.0,497.0,497.0,497.0,511.0,445.0,445.0,445.0,445.0,434.0,434.0,434.0,434.0,434.0,451.0,451.0,465.0,465.0,465.0,465.0,499.0,499.0,499.0,499.0,490.0,637.0,637.0,637.0,637.0,653.0,653.0,653.0,653.0,653.0,599.0,599.0,537.0,537.0,537.0,537.0,506.0,506.0,506.0,506.0,480.0,503.46666666666664,471.46666666666664,557.0,497.0,499.0,506.0
0,511.0,522.0,653.0,14.0,88.0,173.0,497.0,434.0,480.0,511.0,511.0,511.0,511.0,511.0,501.0,501.0,501.0,503.0,503.0,503.0,503.0,497.0,497.0,497.0,497.0,511.0,511.0,511.0,500.0,434.0,434.0,434.0,434.0,434.0,451.0,451.0,451.0,465.0,465.0,465.0,465.0,499.0,499.0,499.0,499.0,490.0,490.0,490.0,522.0,653.0,653.0,653.0,653.0,653.0,599.0,599.0,599.0,537.0,537.0,537.0,537.0,506.0,506.0,506.0,506.0,480.0,480.0,480.0,495.0,504.46666666666664,466.1333333333333,556.9777777777778,500.0,522.0,495.0
0,511.0,522.0,599.0,14.0,88.0,173.0,497.0,451.0,480.0,501.0,501.0,501.0,503.0,503.0,503.0,503.0,497.0,497.0,497.0,497.0,511.0,511.0,511.0,500.0,500.0,500.0,500.0,500.0,511.0,451.0,451.0,451.0,465.0,465.0,465.0,465.0,499.0,499.0,499.0,499.0,490.0,490.0,490.0,522.0,522.0,522.0,522.0,522.0,516.0,599.0,599.0,599.0,537.0,537.0,537.0,537.0,506.0,506.0,506.0,506.0,480.0,480.0,480.0,495.0,495.0,495.0,495.0,495.0,502.0,504.15555555555557,468.77777777777777,555.6888888888889,511.0,516.0,502.0
0,511.0,522.0,537.0,14.0,88.0,173.0,497.0,465.0,480.0,503.0,503.0,497.0,497.0,497.0,497.0,511.0,511.0,511.0,500.0,500.0,500.0,500.0,500.0,511.0,511.0,511.0,511.0,511.0,510.0,465.0,465.0,499.0,499.0,499.0,499.0,490.0,490.0,490.0,522.0,522.0,522.0,522.0,522.0,516.0,516.0,516.0,516.0,516.0,518.0,537.0,537.0,506.0,506.0,506.0,506.0,480.0,480.0,480.0,495.0,495.0,495.0,495.0,495.0,502.0,502.0,502.0,502.0,502.0,500.0,505.02222222222224,472.8222222222222,554.6444444444444,510.0,518.0,500.0
0,521.0,530.0,506.0,24.0,96.0,173.0,497.0,490.0,480.0,497.0,511.0,511.0,511.0,500.0,500.0,500.0,500.0,500.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,521.0,499.0,490.0,490.0,490.0,522.0,522.0,522.0,522.0,522.0,516.0,516.0,516.0,516.0,516.0,518.0,518.0,518.0,518.0,518.0,530.0,506.0,480.0,480.0,480.0,495.0,495.0,495.0,495.0,495.0,502.0,502.0,502.0,502.0,502.0,500.0,500.0,500.0,500.0,500.0,490.0,505.6,481.53333333333336,550.0888888888888,521.0,530.0,490.0
0,521.0,563.0,502.0,24.0,129.0,173.0,500.0,516.0,490.0,500.0,500.0,500.0,500.0,500.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,521.0,521.0,521.0,521.0,514.0,522.0,522.0,522.0,522.0,522.0,516.0,516.0,516.0,516.0,516.0,518.0,518.0,518.0,518.0,518.0,530.0,530.0,530.0,530.0,563.0,495.0,495.0,495.0,495.0,495.0,502.0,502.0,502.0,502.0,502.0,500.0,500.0,500.0,500.0,500.0,490.0,490.0,490.0,490.0,490.0,507.4888888888889,488.75555555555553,541.7333333333333,514.0,563.0,490.0
