,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_med_0,emg_med_1,emg_med_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_max_0,emg_max_1,emg_max_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
0,28.0,351.0,13.0,450.0,195.0,521.0,460.26666666666665,323.7,529.2333333333333,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,500,500,500,478.0,546.0,534.0
0,23.0,237.0,21.0,500.0,309.0,536.0,495.1333333333333,368.3,534.1,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,500,500,500,501.0,324.0,542.0
0,1.0,15.0,6.0,501.0,324.0,542.0,500.6666666666667,319.0,540.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,500,500,500,501.0,324.0,542.0
0,97.0,342.0,69.0,501.0,324.0,473.0,536.9333333333333,431.1333333333333,516.1333333333333,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,598.0,555.0,555.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,666.0,666.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,499.0,499.0,500,500,500,598.0,666.0,542.0
0,43.0,210.0,104.0,555.0,456.0,499.0,573.6,564.2,525.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,666.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,500,500,500,580.0,666.0,577.0
0,41.0,97.0,82.0,539.0,456.0,495.0,567.7,485.1,552.4,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,539.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,500,500,500,580.0,553.0,577.0
0,32.0,168.0,5.0,507.0,385.0,495.0,527.2666666666667,491.4,496.8333333333333,539.0,539.0,539.0,539.0,539.0,539.0,539.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,553.0,553.0,553.0,553.0,553.0,553.0,553.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500,500,539.0,553.0,500.0
0,32.0,168.0,5.0,507.0,385.0,500.0,511.26666666666665,407.4,499.3333333333333,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500,500,507.0,385.0,500.0
0,43.0,80.0,75.0,464.0,343.0,501.0,498.4,370.2,515.5333333333333,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,343.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,500,500,500,507.0,423.0,575.0
