,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,486.0,501.0,439.0,486.0,486.0,486.0,486.0,486.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,517.0,517.0,517.0,517.0,517.0,517.0,501.0,501.0,501.0,501.0,501.0,503.0,503.0,503.0,503.0,503.0,504.0,504.0,504.0,504.0,496.0,522.0,522.0,522.0,522.0,522.0,484.0,484.0,484.0,484.0,484.0,450.0,450.0,450.0,450.0,450.0,439.0,439.0,439.0,439.0,429.0,503.1111111111111,511.1111111111111,529.7777777777778,509.0,504.0,439.0,27.0,22.0,161.0,509.0,517.0,522.0
0,500.0,496.0,408.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,509.0,517.0,517.0,517.0,517.0,517.0,507.0,501.0,501.0,501.0,501.0,503.0,503.0,503.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,496.0,496.0,496.0,496.0,496.0,502.0,484.0,484.0,484.0,484.0,450.0,450.0,450.0,450.0,450.0,439.0,439.0,439.0,439.0,439.0,429.0,429.0,429.0,429.0,429.0,408.0,504.35555555555555,507.8222222222222,506.73333333333335,507.0,502.0,408.0,31.0,21.0,192.0,517.0,504.0,484.0
0,500.0,496.0,408.0,505.0,500.0,500.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,509.0,517.0,517.0,517.0,517.0,517.0,507.0,507.0,507.0,507.0,501.0,503.0,503.0,503.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,496.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,484.0,450.0,450.0,450.0,450.0,450.0,439.0,439.0,439.0,439.0,439.0,429.0,429.0,429.0,429.0,429.0,408.0,408.0,408.0,408.0,504.4222222222222,506.9555555555556,493.93333333333334,507.0,502.0,408.0,31.0,21.0,192.0,517.0,504.0,484.0
0,500.0,496.0,408.0,500.0,509.0,509.0,509.0,509.0,509.0,517.0,517.0,517.0,517.0,517.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,508.0,503.0,504.0,504.0,504.0,504.0,504.0,496.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,497.0,497.0,497.0,497.0,500.0,450.0,439.0,439.0,439.0,439.0,439.0,429.0,429.0,429.0,429.0,429.0,408.0,408.0,408.0,408.0,423.0,423.0,423.0,423.0,444.0,505.1777777777778,505.2,477.4888888888889,508.0,500.0,444.0,31.0,21.0,161.0,517.0,504.0,450.0
0,507.0,496.0,408.0,509.0,509.0,517.0,517.0,517.0,517.0,517.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,509.0,504.0,504.0,496.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,497.0,497.0,497.0,497.0,500.0,500.0,500.0,500.0,507.0,439.0,439.0,429.0,429.0,429.0,429.0,429.0,408.0,408.0,408.0,408.0,423.0,423.0,423.0,423.0,444.0,444.0,444.0,444.0,470.0,505.6666666666667,504.06666666666666,467.4888888888889,509.0,507.0,470.0,31.0,21.0,153.0,517.0,507.0,470.0
0,500.0,496.0,408.0,517.0,517.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,500.0,496.0,496.0,502.0,502.0,502.0,502.0,497.0,497.0,497.0,497.0,500.0,500.0,500.0,500.0,507.0,507.0,507.0,507.0,507.0,511.0,429.0,429.0,408.0,408.0,408.0,408.0,423.0,423.0,423.0,423.0,444.0,444.0,444.0,444.0,470.0,470.0,470.0,470.0,470.0,492.0,505.4222222222222,503.6666666666667,458.93333333333334,500.0,511.0,492.0,31.0,21.0,137.0,517.0,511.0,492.0
0,500.0,497.0,408.0,507.0,507.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,500.0,500.0,500.0,500.0,516.0,502.0,502.0,497.0,497.0,497.0,497.0,500.0,500.0,500.0,500.0,507.0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,510.0,408.0,408.0,423.0,423.0,423.0,423.0,444.0,444.0,444.0,444.0,470.0,470.0,470.0,470.0,470.0,492.0,492.0,492.0,492.0,521.0,505.8222222222222,503.46666666666664,455.8888888888889,516.0,510.0,521.0,31.0,21.0,114.0,516.0,511.0,521.0
0,496.0,497.0,423.0,507.0,507.0,508.0,508.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,500.0,500.0,500.0,500.0,516.0,516.0,516.0,516.0,496.0,497.0,497.0,500.0,500.0,500.0,500.0,507.0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,527.0,423.0,423.0,444.0,444.0,444.0,444.0,470.0,470.0,470.0,470.0,470.0,492.0,492.0,492.0,492.0,521.0,521.0,521.0,521.0,536.0,507.6222222222222,503.5777777777778,456.97777777777776,496.0,527.0,536.0,21.0,31.0,128.0,516.0,527.0,536.0
0,496.0,500.0,444.0,508.0,508.0,509.0,509.0,509.0,509.0,509.0,500.0,500.0,500.0,500.0,516.0,516.0,516.0,496.0,496.0,496.0,496.0,514.0,514.0,500.0,500.0,507.0,507.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,527.0,527.0,527.0,527.0,525.0,525.0,444.0,444.0,470.0,470.0,470.0,470.0,470.0,492.0,492.0,492.0,492.0,521.0,521.0,521.0,536.0,536.0,536.0,536.0,564.0,564.0,507.22222222222223,505.84444444444443,462.22222222222223,514.0,525.0,564.0,21.0,31.0,156.0,516.0,527.0,564.0
