,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_max_0,emg_max_1,emg_max_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_min_0,emg_min_1,emg_min_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,516.0,516.0,516.0,516.0,516.0,505.0,505.0,505.0,505.0,505.0,506.0,506.0,506.0,506.0,506.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,511.0,511.0,511.0,511.0,511.0,492.0,492.0,492.0,492.0,492.0,482.0,482.0,482.0,482.0,482.0,452.0,452.0,452.0,452.0,452.0,479.0,479.0,479.0,479.0,479.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,516.0,513.0,513.0,13.0,32.0,98.0,509.6666666666667,506.44444444444446,485.0,513.0,482.0,508.0,505.0,482.0,452.0
0,505.0,505.0,505.0,505.0,505.0,506.0,506.0,506.0,506.0,506.0,513.0,513.0,513.0,513.0,513.0,507.0,507.0,507.0,507.0,514.0,511.0,511.0,511.0,511.0,511.0,492.0,492.0,492.0,492.0,492.0,482.0,482.0,482.0,482.0,482.0,485.0,485.0,485.0,485.0,495.0,479.0,479.0,479.0,479.0,479.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,483.0,483.0,483.0,483.0,485.0,514.0,511.0,513.0,13.0,32.0,65.0,509.7111111111111,503.6666666666667,478.0444444444444,514.0,495.0,485.0,505.0,482.0,479.0
0,505.0,506.0,506.0,506.0,506.0,506.0,513.0,513.0,513.0,513.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,510.0,510.0,511.0,492.0,492.0,492.0,492.0,492.0,482.0,482.0,482.0,482.0,485.0,485.0,485.0,485.0,495.0,495.0,495.0,495.0,495.0,495.0,479.0,513.0,513.0,513.0,513.0,513.0,508.0,508.0,508.0,508.0,483.0,483.0,483.0,483.0,485.0,485.0,485.0,485.0,483.0,483.0,514.0,511.0,513.0,13.0,32.0,65.0,510.6,502.4222222222222,476.4888888888889,510.0,495.0,483.0,505.0,482.0,479.0
0,506.0,506.0,513.0,513.0,513.0,513.0,513.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,510.0,510.0,510.0,518.0,518.0,492.0,492.0,482.0,482.0,482.0,482.0,482.0,485.0,485.0,485.0,485.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,500.0,500.0,513.0,513.0,508.0,508.0,508.0,508.0,508.0,483.0,483.0,483.0,483.0,485.0,485.0,485.0,485.0,483.0,483.0,483.0,483.0,483.0,518.0,500.0,513.0,13.0,32.0,65.0,511.0444444444444,501.06666666666666,477.3333333333333,518.0,500.0,483.0,506.0,482.0,483.0
0,513.0,513.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,518.0,518.0,508.0,482.0,482.0,485.0,485.0,485.0,485.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,500.0,500.0,500.0,500.0,500.0,500.0,502.0,508.0,508.0,483.0,483.0,483.0,483.0,485.0,485.0,485.0,485.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,494.0,518.0,502.0,508.0,13.0,32.0,65.0,511.6666666666667,499.55555555555554,480.4222222222222,508.0,502.0,494.0,507.0,482.0,483.0
0,514.0,514.0,514.0,514.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,518.0,518.0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,500.0,500.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,517.0,517.0,485.0,485.0,485.0,485.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,494.0,494.0,494.0,494.0,494.0,507.0,507.0,518.0,517.0,507.0,13.0,35.0,65.0,511.1777777777778,498.75555555555553,485.6,511.0,517.0,507.0,508.0,495.0,483.0
0,510.0,510.0,518.0,518.0,518.0,518.0,518.0,518.0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,511.0,511.0,509.0,509.0,495.0,495.0,500.0,500.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,517.0,517.0,517.0,517.0,517.0,532.0,532.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,494.0,494.0,494.0,494.0,494.0,507.0,507.0,507.0,507.0,507.0,531.0,531.0,518.0,532.0,531.0,13.0,50.0,79.0,510.46666666666664,500.0444444444444,494.1777777777778,509.0,532.0,531.0,508.0,495.0,483.0
0,518.0,518.0,518.0,518.0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,511.0,511.0,509.0,509.0,509.0,509.0,509.0,507.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,517.0,517.0,517.0,517.0,517.0,532.0,532.0,532.0,532.0,532.0,533.0,483.0,483.0,483.0,483.0,494.0,494.0,494.0,494.0,494.0,507.0,507.0,507.0,507.0,507.0,531.0,531.0,531.0,531.0,531.0,571.0,518.0,533.0,571.0,13.0,51.0,92.0,510.53333333333336,501.8888888888889,500.2888888888889,507.0,533.0,571.0,507.0,500.0,483.0
0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,511.0,511.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,504.0,502.0,502.0,502.0,502.0,502.0,517.0,517.0,517.0,517.0,517.0,532.0,532.0,532.0,532.0,532.0,533.0,533.0,533.0,533.0,527.0,494.0,494.0,494.0,494.0,494.0,507.0,507.0,507.0,507.0,507.0,531.0,531.0,531.0,531.0,531.0,571.0,571.0,571.0,571.0,573.0,511.0,533.0,573.0,14.0,51.0,90.0,510.6,504.55555555555554,507.0,504.0,527.0,573.0,504.0,502.0,494.0
0,508.0,511.0,511.0,511.0,511.0,511.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,504.0,504.0,504.0,504.0,509.0,502.0,517.0,517.0,517.0,517.0,517.0,532.0,532.0,532.0,532.0,532.0,533.0,533.0,533.0,533.0,527.0,527.0,527.0,527.0,518.0,494.0,507.0,507.0,507.0,507.0,507.0,531.0,531.0,531.0,531.0,531.0,571.0,571.0,571.0,571.0,573.0,573.0,573.0,573.0,552.0,511.0,533.0,573.0,14.0,51.0,90.0,510.3777777777778,507.68888888888887,511.97777777777776,509.0,518.0,552.0,504.0,502.0,494.0
0,511.0,511.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,504.0,504.0,504.0,504.0,509.0,509.0,509.0,507.0,507.0,517.0,517.0,532.0,532.0,532.0,532.0,532.0,533.0,533.0,533.0,533.0,527.0,527.0,527.0,527.0,518.0,518.0,518.0,516.0,516.0,507.0,507.0,531.0,531.0,531.0,531.0,531.0,571.0,571.0,571.0,571.0,573.0,573.0,573.0,573.0,552.0,552.0,552.0,527.0,527.0,511.0,533.0,573.0,14.0,48.0,90.0,509.97777777777776,510.84444444444443,515.3333333333334,507.0,516.0,527.0,504.0,516.0,507.0
