,emg_min_0,emg_min_1,emg_min_2,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19
0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,467.0,473.0,488.0,500,500,500,34.0,61.0,6.0,484.0,503.5,491.0,501.0,534.0,494.0,501.0,501.0,501.0,501.0,501.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,473.0,473.0,473.0,473.0,473.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,488.0,488.0,488.0,488.0,488.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0
0,463.0,524.0,507.0,500,500,500,28.0,52.0,16.0,464.73333333333335,527.7333333333333,504.5,491.0,576.0,510.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,463.0,491.0,491.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,576.0,576.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,510.0,510.0
0,491.0,538.0,510.0,500,500,500,44.0,52.0,4.0,486.46666666666664,547.2666666666667,509.3,507.0,576.0,511.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,576.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
0,491.0,508.0,481.0,500,500,500,16.0,68.0,30.0,502.73333333333335,539.0666666666667,506.8666666666667,507.0,538.0,511.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,491.0,491.0,491.0,491.0,491.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,481.0,481.0,481.0,481.0,481.0
0,491.0,508.0,481.0,500,500,500,16.0,30.0,30.0,496.26666666666665,517.3333333333334,492.0,494.0,512.0,490.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0
0,474.0,484.0,490.0,500,500,500,20.0,28.0,61.0,488.56666666666666,501.73333333333335,510.3666666666667,494.0,512.0,542.0,494.0,494.0,494.0,494.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,512.0,512.0,512.0,512.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,490.0,490.0,490.0,490.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0
0,474.0,475.0,497.0,500,500,500,33.0,9.0,27.0,486.1,480.7,514.1,507.0,484.0,524.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0
0,507.0,475.0,495.0,500,500,500,40.0,22.0,29.0,498.43333333333334,478.1333333333333,504.1333333333333,514.0,497.0,497.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,514.0,514.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,495.0,495.0
0,506.0,475.0,495.0,500,500,500,8.0,22.0,27.0,509.96666666666664,484.53333333333336,498.6333333333333,514.0,497.0,522.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,506.0,506.0,506.0,506.0,475.0,475.0,475.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,475.0,475.0,475.0,475.0,497.0,497.0,497.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,522.0,522.0,522.0,522.0
