iter	Passed	Remaining
0	181	181795
1	283	141303
2	375	124906
3	475	118460
4	568	113070
5	670	111073
6	775	109978
7	868	107658
8	960	105757
9	1059	104911
10	1147	103199
11	1254	103249
12	1364	103614
13	1458	102745
14	1551	101872
15	1649	101426
16	1745	100952
17	1841	100461
18	1934	99868
19	2027	99357
20	2121	98910
21	2215	98494
22	2314	98303
23	2409	97970
24	2501	97566
25	2597	97302
26	2691	96992
27	2786	96720
28	2891	96813
29	2987	96605
30	3083	96390
31	3177	96127
32	3268	95785
33	3362	95539
34	3459	95394
35	3552	95135
36	3646	94913
37	3742	94742
38	3835	94500
39	3926	94246
40	4018	93984
41	4107	93679
42	4194	93355
43	4290	93221
44	4379	92940
45	4477	92855
46	4574	92755
47	4662	92482
48	4752	92241
49	4851	92169
50	4947	92067
51	5036	91812
52	5127	91610
53	5218	91426
54	5309	91218
55	5401	91054
56	5492	90862
57	5586	90739
58	5677	90555
59	5767	90360
60	5858	90174
61	5953	90065
62	6046	89923
63	6135	89730
64	6226	89563
65	6318	89422
66	6410	89269
67	6502	89127
68	6594	88972
69	6688	88856
70	6780	88714
71	6872	88583
72	6961	88407
73	7059	88340
74	7149	88179
75	7238	88001
76	7334	87921
77	7431	87838
78	7523	87710
79	7625	87696
80	7718	87571
81	7816	87506
82	7908	87373
83	7999	87228
84	8094	87137
85	8185	86993
86	8275	86842
87	8366	86706
88	8464	86643
89	8557	86522
90	8651	86418
91	8749	86349
92	8840	86218
93	8934	86112
94	9031	86038
95	9126	85937
96	9215	85791
97	9307	85663
98	9396	85516
99	9490	85411
100	9585	85316
101	9677	85197
102	9767	85062
103	9863	84978
104	9953	84845
105	10048	84745
106	10141	84639
107	10231	84507
108	10319	84358
109	10415	84267
110	10504	84133
111	10597	84021
112	10690	83913
113	10781	83795
114	10872	83673
115	10966	83572
116	11061	83477
117	11149	83339
118	11246	83263
119	11339	83153
120	11431	83042
121	11528	82965
122	11617	82835
123	11712	82739
124	11806	82643
125	11896	82517
126	11985	82389
127	12079	82294
128	12176	82212
129	12271	82127
130	12367	82038
131	12458	81927
132	12550	81815
133	12644	81718
134	12737	81612
135	12826	81486
136	12916	81366
137	13007	81252
138	13097	81126
139	13191	81031
140	13288	80954
141	13380	80850
142	13469	80722
143	13558	80600
144	13654	80514
145	13746	80405
146	13833	80273
147	13923	80155
148	14018	80067
149	14110	79958
150	14205	79869
151	14296	79757
152	14385	79636
153	14475	79518
154	14566	79408
155	14658	79306
156	14752	79210
157	14844	79110
158	14944	79047
159	15042	78974
160	15135	78873
161	15226	78761
162	15317	78656
163	15408	78544
164	15501	78444
165	15595	78351
166	15689	78257
167	15781	78156
168	15872	78045
169	15960	77923
170	16057	77844
171	16149	77744
172	16239	77628
173	16327	77507
174	16417	77397
175	16510	77300
176	16605	77210
177	16692	77085
178	16783	76977
179	16871	76860
180	16960	76744
181	17050	76631
182	17144	76542
183	17234	76432
184	17329	76342
185	17421	76242
186	17512	76135
187	17603	76031
188	17704	75971
189	17792	75850
190	17882	75742
191	17975	75648
192	18066	75542
193	18158	75442
194	18251	75344
195	18337	75221
196	18427	75112
197	18521	75021
198	18610	74909
199	18699	74796
200	18787	74680
201	18875	74567
202	18971	74486
203	19061	74376
204	19152	74272
205	19243	74171
206	19336	74076
207	19424	73964
208	19515	73861
209	19611	73776
210	19704	73682
211	19799	73594
212	19893	73502
213	19981	73389
214	20075	73299
215	20163	73184
