,unixtime,emg0,emg1
0,1555408658.268994,499.0,494.0
1,1555408658.3231175,510.0,510.0
2,1555408658.3793437,521.0,509.0
3,1555408658.4325738,518.0,504.0
4,1555408658.4847734,510.0,498.0
5,1555408658.536808,496.0,506.0
6,1555408658.5893986,496.0,506.0
7,1555408658.6441033,508.0,505.0
8,1555408658.698574,513.0,497.0
9,1555408658.7512925,519.0,500.0
10,1555408658.8044932,513.0,503.0
11,1555408658.8670545,504.0,509.0
12,1555408658.9191675,501.0,507.0
13,1555408658.975451,494.0,508.0
14,1555408659.0309477,501.0,514.0
15,1555408659.0827136,498.0,511.0
16,1555408659.134122,526.0,511.0
17,1555408659.1874108,571.0,510.0
18,1555408659.2403138,543.0,510.0
19,1555408659.292482,477.0,507.0
20,1555408659.344868,470.0,499.0
21,1555408659.397229,484.0,500.0
22,1555408659.449097,532.0,500.0
23,1555408659.501744,532.0,500.0
24,1555408659.5552342,569.0,502.0
25,1555408659.6066375,554.0,497.0
26,1555408659.6753447,506.0,504.0
27,1555408659.728479,469.0,506.0
28,1555408659.7818334,450.0,509.0
29,1555408659.8331623,479.0,516.0
30,1555408659.8861854,531.0,502.0
31,1555408659.9447875,545.0,510.0
32,1555408659.9964077,520.0,510.0
33,1555408660.0484052,483.0,507.0
34,1555408660.108311,468.0,507.0
35,1555408660.160726,482.0,507.0
36,1555408660.21214,518.0,507.0
37,1555408660.26641,534.0,510.0
38,1555408660.3183277,532.0,506.0
39,1555408660.371016,532.0,506.0
40,1555408660.422828,519.0,505.0
41,1555408660.4892263,487.0,503.0
42,1555408660.541477,496.0,502.0
43,1555408660.593784,518.0,502.0
44,1555408660.6452613,522.0,505.0
45,1555408660.6967952,517.0,505.0
46,1555408660.748198,495.0,512.0
47,1555408660.8016539,481.0,514.0
48,1555408660.8554914,498.0,508.0
49,1555408660.9089005,498.0,508.0
50,1555408660.9618282,517.0,509.0
51,1555408661.0142202,527.0,505.0
52,1555408661.0660157,508.0,507.0
53,1555408661.1173706,496.0,506.0
54,1555408661.1700053,488.0,506.0
55,1555408661.224705,498.0,506.0
56,1555408661.2802603,518.0,504.0
57,1555408661.3433557,531.0,505.0
58,1555408661.3980908,518.0,506.0
59,1555408661.4497955,500.0,513.0
60,1555408661.5124094,471.0,509.0
61,1555408661.564141,478.0,506.0
62,1555408661.6159377,506.0,507.0
63,1555408661.6685996,534.0,513.0
64,1555408661.7203429,525.0,510.0
65,1555408661.7793787,514.0,509.0
66,1555408661.831992,495.0,506.0
67,1555408661.8849304,483.0,511.0
68,1555408661.9487429,498.0,508.0
69,1555408662.000123,516.0,510.0
70,1555408662.0558803,536.0,509.0
71,1555408662.1110916,528.0,509.0
72,1555408662.1630118,511.0,502.0
73,1555408662.2167742,491.0,510.0
74,1555408662.2690494,485.0,508.0
75,1555408662.3204627,496.0,508.0
76,1555408662.3721888,516.0,506.0
77,1555408662.4239213,518.0,510.0
78,1555408662.4789422,505.0,512.0
79,1555408662.5320396,497.0,495.0
80,1555408662.5846727,497.0,495.0
