,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_min_0,emg_min_1,emg_min_2,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2
0,10.0,35.0,15.0,547.0,492.0,525.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,525.0,547.0,492.0,525.0,500,500,500,545.0,499.0,522.0
0,29.0,35.0,12.0,534.0,469.0,527.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,534.0,518.0,518.0,518.0,518.0,518.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,457.0,457.0,457.0,457.0,457.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,515.0,515.0,515.0,515.0,515.0,518.0,457.0,515.0,500,500,500,536.3,474.7,525.2
0,31.0,12.0,13.0,518.0,468.0,515.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,503.0,457.0,514.0,500,500,500,519.3333333333334,463.93333333333334,518.7333333333333
0,26.0,18.0,5.0,503.0,505.0,519.0,503.0,503.0,503.0,503.0,503.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,491.0,468.0,468.0,468.0,468.0,468.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,505.0,514.0,514.0,514.0,514.0,514.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,496.0,491.0,468.0,496.0,500,500,500,499.73333333333335,472.1333333333333,515.7666666666667
0,3.0,65.0,23.0,494.0,540.0,497.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,491.0,505.0,496.0,500,500,500,492.03333333333336,507.3333333333333,501.6333333333333
0,39.0,35.0,3.0,530.0,540.0,499.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,530.0,530.0,530.0,530.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,532.0,532.0,532.0,532.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,499.0,499.0,499.0,499.0,494.0,532.0,497.0,500,500,500,496.9,531.0333333333333,496.96666666666664
0,36.0,13.0,16.0,530.0,540.0,513.0,494.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,529.0,529.0,529.0,529.0,529.0,529.0,540.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,527.0,527.0,527.0,527.0,527.0,527.0,497.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,513.0,513.0,513.0,513.0,513.0,513.0,494.0,527.0,497.0,500,500,500,516.6666666666666,534.2666666666667,500.1333333333333
0,6.0,5.0,21.0,529.0,531.0,520.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,524.0,527.0,513.0,500,500,500,527.4333333333333,529.8,511.8333333333333
0,9.0,12.0,15.0,524.0,531.0,520.0,524.0,524.0,524.0,524.0,524.0,524.0,524.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,515.0,519.0,505.0,500,500,500,520.1,525.8,513.5
0,7.0,12.0,8.0,515.0,519.0,513.0,515.0,515.0,515.0,515.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,498.0,519.0,519.0,519.0,519.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,502.0,505.0,505.0,505.0,505.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,523.0,508.0,507.0,505.0,500,500,500,511.5,513.0,509.0
