,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
0,1555416501.048283,476.0,456.0,458.0,96.0,275.0,333.0,512.25,513.25
1,1555416501.1171277,540.0,571.0,558.0,96.0,275.0,333.0,514.5,515.95
2,1555416501.187208,489.0,466.0,511.0,96.0,275.0,333.0,513.65,516.2
3,1555416501.2507718,475.0,457.0,482.0,96.0,275.0,333.0,511.15,508.35
4,1555416501.320086,510.0,519.0,511.0,96.0,275.0,333.0,511.85,508.0
5,1555416501.3882828,496.0,530.0,646.0,96.0,275.0,333.0,512.45,510.5
6,1555416501.4497492,502.0,538.0,415.0,96.0,275.0,337.0,512.0,514.25
7,1555416501.5201366,525.0,530.0,472.0,96.0,275.0,337.0,511.5,516.8
8,1555416501.5956576,523.0,603.0,529.0,96.0,275.0,337.0,513.75,522.75
9,1555416501.6634133,504.0,565.0,458.0,96.0,275.0,337.0,513.25,523.15
10,1555416501.7286062,498.0,537.0,502.0,96.0,275.0,337.0,510.05,520.6
11,1555416501.7982266,475.0,406.0,369.0,96.0,275.0,383.0,507.5,518.5
12,1555416501.8660767,499.0,519.0,404.0,96.0,275.0,383.0,506.2,517.1
13,1555416501.9363523,471.0,507.0,508.0,98.0,275.0,277.0,503.65,516.05
14,1555416502.0049684,404.0,411.0,385.0,165.0,275.0,277.0,497.9,508.25
15,1555416502.0805771,389.0,470.0,404.0,180.0,275.0,277.0,491.6,505.6
16,1555416502.1529033,480.0,602.0,504.0,152.0,246.0,277.0,487.15,504.1
17,1555416502.2205,535.0,576.0,522.0,151.0,246.0,277.0,486.85,507.2
18,1555416502.289738,512.0,366.0,393.0,151.0,246.0,277.0,488.8,499.3
19,1555416502.3581903,520.0,438.0,367.0,151.0,237.0,279.0,491.15,503.35
20,1555416502.4279542,589.0,446.0,437.0,200.0,237.0,279.0,496.8,502.85
21,1555416502.5197816,547.0,529.0,508.0,200.0,237.0,279.0,497.15,500.75
22,1555416502.5865712,490.0,393.0,391.0,200.0,237.0,279.0,497.2,497.1
23,1555416502.653952,514.0,571.0,437.0,200.0,237.0,279.0,499.15,502.8
24,1555416502.7213438,549.0,629.0,558.0,200.0,263.0,279.0,501.1,508.3
25,1555416502.7859619,522.0,532.0,489.0,200.0,263.0,191.0,502.4,508.4
26,1555416502.8561132,537.0,549.0,541.0,200.0,263.0,191.0,504.15,508.95
27,1555416502.9312453,521.0,481.0,462.0,200.0,263.0,191.0,503.95,506.5
28,1555416503.0056467,505.0,548.0,550.0,200.0,263.0,191.0,503.05,503.75
29,1555416503.0753217,512.0,519.0,577.0,200.0,263.0,210.0,503.45,501.45
30,1555416503.1462054,532.0,556.0,575.0,200.0,263.0,210.0,505.15,502.4
31,1555416503.2167642,531.0,582.0,676.0,200.0,263.0,309.0,507.95,511.2
32,1555416503.2889314,459.0,517.0,690.0,200.0,263.0,323.0,505.95,511.1
33,1555416503.361201,494.0,560.0,550.0,200.0,263.0,323.0,507.1,513.75
34,1555416503.4359808,521.0,516.0,548.0,200.0,263.0,323.0,512.95,519.0
35,1555416503.5080218,503.0,470.0,503.0,130.0,263.0,323.0,518.65,519.0
36,1555416503.5829716,508.0,435.0,466.0,130.0,263.0,323.0,520.05,510.65
37,1555416503.650093,516.0,525.0,567.0,130.0,263.0,323.0,519.1,508.1
38,1555416503.724661,487.0,497.0,503.0,130.0,236.0,323.0,517.85,514.65
39,1555416503.806929,409.0,425.0,562.0,180.0,236.0,299.0,512.3,514.0
40,1555416503.8801281,500.0,547.0,444.0,140.0,236.0,299.0,507.85,519.05
41,1555416503.951632,634.0,506.0,569.0,225.0,236.0,299.0,512.2,517.9
42,1555416504.0281622,549.0,627.0,697.0,225.0,204.0,260.0,515.15,529.6
43,1555416504.0961096,491.0,468.0,488.0,225.0,204.0,253.0,514.0,524.45
44,1555416504.1735444,509.0,476.0,527.0,225.0,202.0,253.0,512.0,516.8
