,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19
0,163.0,81.0,107.0,440.0,490.0,458.0,512.8333333333334,508.73333333333335,510.43333333333334,506.0,504.0,532.0,594.0,561.0,539.0,588.0,527.0,501.0,449.0,594.0,529.0,440.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,524.0,520.0,509.0,513.0,507.0,496.0,541.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,501.0,523.0,514.0,500.0,539.0,490.0,507.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0
0,163.0,81.0,107.0,440.0,490.0,458.0,512.8333333333334,508.73333333333335,510.43333333333334,506.0,504.0,532.0,594.0,561.0,539.0,588.0,527.0,501.0,449.0,594.0,529.0,440.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,524.0,520.0,509.0,513.0,507.0,496.0,541.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,501.0,523.0,514.0,500.0,539.0,490.0,507.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0
0,163.0,81.0,107.0,440.0,490.0,458.0,513.2666666666667,509.56666666666666,508.8,522.0,518.0,500.0,594.0,561.0,539.0,527.0,501.0,449.0,594.0,529.0,440.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,509.0,513.0,507.0,496.0,541.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,523.0,514.0,500.0,539.0,490.0,507.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0
0,163.0,81.0,107.0,440.0,490.0,458.0,513.1666666666666,510.3333333333333,510.46666666666664,520.0,508.0,544.0,594.0,561.0,544.0,501.0,449.0,594.0,529.0,440.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,509.0,513.0,507.0,496.0,541.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,514.0,500.0,539.0,490.0,507.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0
0,163.0,71.0,107.0,440.0,490.0,458.0,513.2333333333333,510.9,510.0,520.0,497.0,506.0,594.0,561.0,544.0,449.0,594.0,529.0,440.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,513.0,507.0,496.0,541.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,500.0,539.0,490.0,507.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0
0,163.0,90.0,93.0,440.0,471.0,458.0,514.7,510.03333333333336,508.7,517.0,471.0,526.0,594.0,561.0,544.0,594.0,529.0,440.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,507.0,496.0,541.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,539.0,490.0,507.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0
0,163.0,90.0,93.0,440.0,471.0,458.0,514.3666666666667,509.9,507.43333333333334,500.0,487.0,508.0,550.0,561.0,544.0,529.0,440.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,496.0,541.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,490.0,507.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0
0,163.0,90.0,93.0,440.0,471.0,458.0,513.6666666666666,510.26666666666665,508.73333333333335,506.0,506.0,514.0,550.0,561.0,544.0,440.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,541.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,507.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0
0,163.0,90.0,93.0,470.0,471.0,458.0,513.1666666666666,509.8,510.23333333333335,507.0,513.0,511.0,550.0,561.0,544.0,534.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,508.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,480.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0
0,163.0,90.0,93.0,470.0,471.0,458.0,513.0666666666667,508.8666666666667,511.6333333333333,501.0,507.0,513.0,550.0,561.0,544.0,508.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,500.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,522.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0
0,163.0,90.0,93.0,470.0,471.0,458.0,512.8,508.06666666666666,511.26666666666665,523.0,493.0,523.0,550.0,561.0,544.0,513.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,516.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,515.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0
0,154.0,90.0,145.0,470.0,471.0,458.0,516.1666666666666,507.3,513.0,532.0,494.0,603.0,550.0,561.0,603.0,528.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,505.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,493.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0
0,154.0,90.0,145.0,470.0,471.0,458.0,514.5333333333333,506.56666666666666,511.76666666666665,539.0,502.0,464.0,550.0,561.0,603.0,508.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,496.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,527.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0
0,154.0,90.0,145.0,470.0,471.0,458.0,514.2,507.0,510.7,517.0,533.0,491.0,550.0,561.0,603.0,527.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,511.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,504.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0
0,154.0,90.0,145.0,470.0,471.0,458.0,515.0666666666667,507.1,511.43333333333334,527.0,512.0,536.0,550.0,561.0,603.0,470.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,504.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,527.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0
0,154.0,90.0,145.0,495.0,471.0,458.0,516.6333333333333,506.0,511.76666666666665,496.0,480.0,510.0,550.0,561.0,603.0,507.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,492.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,498.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0
0,110.0,90.0,145.0,495.0,471.0,458.0,513.6333333333333,505.6666666666667,511.03333333333336,504.0,497.0,517.0,550.0,561.0,603.0,545.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,508.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,490.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0
0,110.0,90.0,168.0,494.0,471.0,435.0,512.4666666666667,507.3666666666667,509.2,494.0,547.0,435.0,550.0,561.0,603.0,518.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,520.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,497.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0
0,80.0,90.0,168.0,477.0,471.0,435.0,513.7,506.73333333333335,508.4,477.0,522.0,483.0,550.0,561.0,603.0,495.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,477.0,490.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,522.0,525.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0,483.0
0,80.0,90.0,168.0,477.0,471.0,435.0,513.5333333333333,507.1,507.8,529.0,519.0,462.0,550.0,561.0,603.0,550.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,477.0,529.0,561.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,522.0,519.0,458.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0,483.0,462.0
0,80.0,90.0,168.0,477.0,471.0,435.0,513.5333333333333,507.5,505.6666666666667,508.0,512.0,458.0,539.0,547.0,603.0,506.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,477.0,529.0,508.0,504.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,522.0,519.0,512.0,532.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0,483.0,462.0,458.0
0,80.0,90.0,168.0,477.0,471.0,435.0,512.9,506.73333333333335,504.06666666666666,494.0,493.0,467.0,539.0,547.0,603.0,522.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,477.0,529.0,508.0,494.0,518.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,522.0,519.0,512.0,493.0,500.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0,483.0,462.0,458.0,467.0
0,80.0,90.0,168.0,477.0,471.0,435.0,511.46666666666664,507.06666666666666,505.4,485.0,515.0,533.0,539.0,547.0,603.0,520.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,477.0,529.0,508.0,494.0,485.0,508.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,522.0,519.0,512.0,493.0,515.0,544.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0,483.0,462.0,458.0,467.0,533.0
0,80.0,90.0,168.0,477.0,471.0,435.0,512.4333333333333,507.56666666666666,504.1333333333333,537.0,511.0,489.0,539.0,547.0,603.0,520.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,477.0,529.0,508.0,494.0,485.0,537.0,497.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,522.0,519.0,512.0,493.0,515.0,511.0,506.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0,483.0,462.0,458.0,467.0,533.0,489.0
0,80.0,90.0,168.0,477.0,471.0,435.0,511.1333333333333,507.06666666666666,505.7,488.0,496.0,551.0,539.0,547.0,603.0,517.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,477.0,529.0,508.0,494.0,485.0,537.0,488.0,471.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,522.0,519.0,512.0,493.0,515.0,511.0,496.0,526.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0,483.0,462.0,458.0,467.0,533.0,489.0,551.0
0,73.0,90.0,168.0,477.0,480.0,435.0,512.7,506.3,504.3333333333333,517.0,481.0,486.0,539.0,547.0,603.0,500.0,506.0,507.0,501.0,523.0,532.0,539.0,517.0,527.0,496.0,504.0,494.0,477.0,529.0,508.0,494.0,485.0,537.0,488.0,517.0,487.0,506.0,513.0,507.0,493.0,494.0,502.0,533.0,512.0,480.0,497.0,547.0,522.0,519.0,512.0,493.0,515.0,511.0,496.0,481.0,508.0,514.0,511.0,513.0,523.0,603.0,464.0,491.0,536.0,510.0,517.0,435.0,483.0,462.0,458.0,467.0,533.0,489.0,551.0,486.0
