,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_med_0,emg_med_1,emg_med_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_max_0,emg_max_1,emg_max_2
0,45.0,347.0,24.0,482.0,328.0,493.0,494.0,420.53333333333336,510.6,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,500,500,500,527.0,675.0,517.0
0,45.0,347.0,24.0,482.0,328.0,493.0,494.0,420.53333333333336,510.6,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,500,500,500,527.0,675.0,517.0
0,45.0,347.0,24.0,482.0,328.0,493.0,507.5,524.6333333333333,503.4,482.0,482.0,482.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,328.0,328.0,328.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,675.0,517.0,517.0,517.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,500,500,500,527.0,675.0,517.0
0,61.0,313.0,53.0,466.0,362.0,517.0,488.06666666666666,479.96666666666664,516.8666666666667,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,466.0,466.0,466.0,466.0,466.0,466.0,466.0,466.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,456.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,500,500,500,483.0,456.0,546.0
0,9.0,116.0,79.0,466.0,362.0,467.0,468.4,392.93333333333334,524.9333333333333,466.0,466.0,466.0,466.0,466.0,466.0,466.0,466.0,466.0,466.0,466.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,500,500,500,475.0,478.0,546.0
0,50.0,116.0,79.0,475.0,391.0,467.0,480.03333333333336,440.3,494.3,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,500,500,500,516.0,478.0,536.0
0,71.0,166.0,69.0,516.0,391.0,506.0,517.1666666666666,449.76666666666665,516.5,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,500,500,500,546.0,557.0,536.0
0,30.0,166.0,30.0,516.0,391.0,506.0,535.0,496.1333333333333,517.0,516.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,391.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,499.0,536.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,542.0,500,500,500,546.0,557.0,536.0
0,31.0,179.0,45.0,515.0,378.0,497.0,533.0,513.8,516.8,546.0,546.0,546.0,546.0,546.0,546.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,526.0,526.0,526.0,526.0,526.0,526.0,557.0,557.0,557.0,557.0,557.0,557.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,378.0,378.0,378.0,378.0,378.0,378.0,506.0,506.0,506.0,506.0,506.0,506.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,542.0,497.0,497.0,497.0,497.0,497.0,497.0,500,500,500,546.0,557.0,542.0
0,34.0,306.0,64.0,512.0,378.0,478.0,522.4666666666667,477.03333333333336,510.3666666666667,515.0,515.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,499.0,499.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,542.0,542.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,500,500,500,526.0,684.0,542.0
0,14.0,306.0,28.0,512.0,643.0,478.0,515.9666666666667,608.5,485.23333333333335,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,684.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,500,500,500,519.0,684.0,506.0
0,7.0,198.0,33.0,516.0,486.0,506.0,516.9666666666667,631.6333333333333,500.1333333333333,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,516.0,516.0,516.0,516.0,516.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,643.0,486.0,486.0,486.0,486.0,486.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,511.0,511.0,511.0,511.0,511.0,500,500,500,519.0,643.0,511.0
0,24.0,157.0,6.0,495.0,486.0,511.0,516.3,539.0,509.3666666666667,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,495.0,495.0,495.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,506.0,506.0,506.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,512.0,512.0,512.0,500,500,500,516.0,506.0,512.0
0,21.0,26.0,1.0,495.0,506.0,511.0,502.2,501.8666666666667,511.53333333333336,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,500,500,500,503.0,512.0,512.0
0,12.0,43.0,28.0,503.0,469.0,484.0,502.46666666666664,502.4,505.76666666666665,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,500,500,500,507.0,512.0,511.0
0,66.0,130.0,53.0,441.0,382.0,484.0,503.8666666666667,476.1333333333333,492.06666666666666,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,441.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,382.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,484.0,537.0,500,500,500,507.0,469.0,537.0
0,66.0,99.0,70.0,441.0,382.0,467.0,469.1666666666667,427.5,507.6666666666667,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,478.0,478.0,478.0,478.0,478.0,478.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,537.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,500,500,500,478.0,481.0,537.0
0,10.0,48.0,33.0,478.0,433.0,467.0,481.0,466.6,476.9,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,481.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500,500,500,488.0,481.0,500.0
0,61.0,240.0,88.0,427.0,241.0,500.0,483.26666666666665,415.4,504.4,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,427.0,427.0,427.0,427.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,241.0,241.0,241.0,241.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,555.0,555.0,555.0,555.0,500,500,500,488.0,433.0,555.0
0,61.0,192.0,55.0,427.0,241.0,500.0,459.53333333333336,343.4,525.6666666666666,488.0,488.0,488.0,488.0,488.0,488.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,433.0,433.0,433.0,433.0,433.0,433.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,500.0,500.0,500.0,500.0,500.0,500.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,500,500,500,488.0,433.0,555.0
0,93.0,192.0,55.0,427.0,241.0,506.0,469.3333333333333,323.6666666666667,531.9333333333333,427.0,427.0,427.0,427.0,427.0,427.0,427.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,500,500,500,520.0,417.0,555.0
0,93.0,183.0,49.0,495.0,416.0,506.0,491.8333333333333,377.53333333333336,519.3,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,495.0,495.0,495.0,495.0,495.0,495.0,501.0,501.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,417.0,424.0,424.0,424.0,424.0,424.0,424.0,416.0,416.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,509.0,509.0,509.0,509.0,509.0,509.0,541.0,541.0,500,500,500,520.0,424.0,541.0
