,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,474.0,507.0,482.0,485.0,485.0,485.0,485.0,485.0,474.0,474.0,474.0,474.0,474.0,489.0,489.0,489.0,489.0,489.0,491.0,491.0,491.0,491.0,491.0,549.0,549.0,549.0,549.0,549.0,544.0,544.0,544.0,544.0,544.0,513.0,513.0,513.0,513.0,513.0,507.0,507.0,507.0,507.0,507.0,482.0,482.0,482.0,482.0,482.0,521.0,521.0,521.0,521.0,521.0,504.0,504.0,504.0,504.0,504.0,515.0,515.0,515.0,515.0,515.0,491.0,507.0,515.0,491.1111111111111,535.5555555555555,506.77777777777777,28.0,65.0,54.0,491.0,549.0,521.0
0,474.0,472.0,482.0,485.0,485.0,474.0,474.0,474.0,474.0,474.0,489.0,489.0,489.0,489.0,489.0,491.0,491.0,491.0,491.0,491.0,497.0,497.0,497.0,549.0,549.0,544.0,544.0,544.0,544.0,544.0,513.0,513.0,513.0,513.0,513.0,507.0,507.0,507.0,507.0,507.0,472.0,472.0,472.0,482.0,482.0,521.0,521.0,521.0,521.0,521.0,504.0,504.0,504.0,504.0,504.0,515.0,515.0,515.0,515.0,515.0,508.0,508.0,508.0,497.0,472.0,508.0,491.0444444444444,532.6222222222223,507.0444444444444,28.0,100.0,54.0,497.0,549.0,521.0
0,474.0,472.0,504.0,474.0,474.0,489.0,489.0,489.0,489.0,489.0,491.0,491.0,491.0,491.0,497.0,497.0,497.0,492.0,492.0,492.0,492.0,492.0,486.0,544.0,544.0,513.0,513.0,513.0,513.0,513.0,507.0,507.0,507.0,507.0,472.0,472.0,472.0,491.0,491.0,491.0,491.0,491.0,493.0,521.0,521.0,504.0,504.0,504.0,504.0,504.0,515.0,515.0,515.0,515.0,508.0,508.0,508.0,527.0,527.0,527.0,527.0,527.0,517.0,492.0,491.0,527.0,490.1111111111111,528.5111111111111,508.0,28.0,100.0,54.0,497.0,544.0,527.0
0,486.0,472.0,504.0,489.0,489.0,491.0,491.0,491.0,491.0,491.0,497.0,497.0,497.0,492.0,492.0,492.0,492.0,492.0,486.0,486.0,486.0,486.0,486.0,513.0,513.0,507.0,507.0,507.0,507.0,507.0,472.0,472.0,472.0,491.0,491.0,491.0,491.0,491.0,493.0,493.0,493.0,493.0,493.0,504.0,504.0,515.0,515.0,515.0,515.0,515.0,508.0,508.0,508.0,527.0,527.0,527.0,527.0,527.0,517.0,517.0,517.0,517.0,517.0,486.0,493.0,517.0,488.53333333333336,524.1333333333333,510.0444444444444,25.0,100.0,54.0,497.0,513.0,527.0
0,486.0,472.0,508.0,491.0,491.0,491.0,491.0,497.0,497.0,497.0,492.0,492.0,492.0,492.0,486.0,486.0,486.0,486.0,486.0,493.0,493.0,493.0,491.0,507.0,507.0,507.0,507.0,472.0,472.0,472.0,491.0,491.0,491.0,491.0,493.0,493.0,493.0,493.0,493.0,483.0,483.0,483.0,484.0,515.0,515.0,515.0,515.0,508.0,508.0,508.0,527.0,527.0,527.0,527.0,517.0,517.0,517.0,517.0,517.0,533.0,533.0,533.0,510.0,493.0,483.0,533.0,488.31111111111113,520.4888888888889,512.4444444444445,23.0,100.0,51.0,497.0,507.0,533.0
0,486.0,472.0,489.0,497.0,492.0,492.0,492.0,492.0,492.0,486.0,486.0,486.0,486.0,486.0,493.0,493.0,493.0,491.0,491.0,491.0,491.0,491.0,490.0,472.0,491.0,491.0,491.0,491.0,491.0,493.0,493.0,493.0,493.0,493.0,483.0,483.0,483.0,484.0,484.0,484.0,484.0,484.0,493.0,508.0,527.0,527.0,527.0,527.0,527.0,517.0,517.0,517.0,517.0,517.0,533.0,533.0,533.0,510.0,510.0,510.0,510.0,510.0,489.0,490.0,493.0,489.0,488.2888888888889,510.64444444444445,510.6,23.0,100.0,51.0,497.0,493.0,533.0
0,486.0,483.0,489.0,492.0,492.0,486.0,486.0,486.0,486.0,486.0,493.0,493.0,493.0,491.0,491.0,491.0,491.0,491.0,490.0,490.0,490.0,490.0,498.0,491.0,491.0,493.0,493.0,493.0,493.0,493.0,483.0,483.0,483.0,484.0,484.0,484.0,484.0,484.0,493.0,493.0,493.0,493.0,512.0,527.0,527.0,517.0,517.0,517.0,517.0,517.0,533.0,533.0,533.0,510.0,510.0,510.0,510.0,510.0,489.0,489.0,489.0,489.0,538.0,498.0,512.0,538.0,488.5111111111111,504.55555555555554,511.44444444444446,24.0,77.0,56.0,498.0,512.0,538.0
0,486.0,483.0,477.0,486.0,486.0,493.0,493.0,493.0,491.0,491.0,491.0,491.0,491.0,490.0,490.0,490.0,490.0,498.0,498.0,498.0,498.0,498.0,496.0,493.0,493.0,483.0,483.0,483.0,484.0,484.0,484.0,484.0,484.0,493.0,493.0,493.0,493.0,512.0,512.0,512.0,512.0,512.0,509.0,517.0,517.0,533.0,533.0,533.0,510.0,510.0,510.0,510.0,510.0,489.0,489.0,489.0,489.0,538.0,538.0,538.0,538.0,538.0,477.0,496.0,509.0,477.0,490.15555555555557,500.4888888888889,515.4444444444445,24.0,72.0,61.0,498.0,512.0,538.0
0,490.0,483.0,477.0,493.0,491.0,491.0,491.0,491.0,491.0,490.0,490.0,490.0,490.0,498.0,498.0,498.0,498.0,498.0,496.0,496.0,496.0,496.0,495.0,483.0,484.0,484.0,484.0,484.0,484.0,493.0,493.0,493.0,493.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,494.0,533.0,510.0,510.0,510.0,510.0,510.0,489.0,489.0,489.0,489.0,538.0,538.0,538.0,538.0,538.0,477.0,477.0,477.0,477.0,512.0,495.0,494.0,512.0,492.0888888888889,497.0444444444444,512.3111111111111,12.0,41.0,61.0,498.0,512.0,538.0
0,490.0,469.0,477.0,491.0,490.0,490.0,490.0,490.0,498.0,498.0,498.0,498.0,498.0,496.0,496.0,496.0,496.0,495.0,495.0,495.0,495.0,495.0,490.0,484.0,493.0,493.0,493.0,493.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,494.0,494.0,494.0,494.0,494.0,469.0,510.0,489.0,489.0,489.0,489.0,538.0,538.0,538.0,538.0,538.0,477.0,477.0,477.0,477.0,512.0,512.0,512.0,512.0,512.0,499.0,490.0,469.0,499.0,492.64444444444445,494.3777777777778,512.9111111111112,12.0,43.0,61.0,498.0,512.0,538.0
0,490.0,469.0,477.0,498.0,498.0,498.0,498.0,498.0,496.0,496.0,496.0,496.0,495.0,495.0,495.0,495.0,495.0,490.0,490.0,490.0,490.0,490.0,494.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,509.0,494.0,494.0,494.0,494.0,494.0,469.0,469.0,469.0,469.0,469.0,471.0,538.0,538.0,538.0,538.0,538.0,477.0,477.0,477.0,477.0,512.0,512.0,512.0,512.0,512.0,499.0,499.0,499.0,499.0,499.0,507.0,494.0,471.0,507.0,492.6222222222222,490.2,511.31111111111113,12.0,43.0,61.0,498.0,512.0,538.0
0,490.0,469.0,477.0,496.0,496.0,496.0,496.0,495.0,495.0,495.0,495.0,495.0,490.0,490.0,490.0,490.0,490.0,494.0,494.0,494.0,494.0,494.0,500.0,509.0,509.0,509.0,509.0,494.0,494.0,494.0,494.0,494.0,469.0,469.0,469.0,469.0,469.0,471.0,471.0,471.0,471.0,471.0,473.0,477.0,477.0,477.0,477.0,512.0,512.0,512.0,512.0,512.0,499.0,499.0,499.0,499.0,499.0,507.0,507.0,507.0,507.0,507.0,523.0,500.0,473.0,523.0,492.64444444444445,489.2888888888889,510.7111111111111,14.0,43.0,61.0,500.0,509.0,523.0
0,490.0,469.0,490.0,495.0,495.0,495.0,495.0,495.0,490.0,490.0,490.0,490.0,494.0,494.0,494.0,494.0,494.0,500.0,500.0,500.0,500.0,501.0,501.0,494.0,494.0,494.0,494.0,494.0,469.0,469.0,469.0,469.0,471.0,471.0,471.0,471.0,471.0,473.0,473.0,473.0,473.0,473.0,473.0,512.0,512.0,512.0,512.0,512.0,499.0,499.0,499.0,499.0,507.0,507.0,507.0,507.0,507.0,523.0,523.0,523.0,523.0,490.0,490.0,501.0,473.0,490.0,493.5111111111111,487.64444444444445,509.84444444444443,15.0,43.0,61.0,501.0,494.0,523.0
0,490.0,469.0,486.0,490.0,490.0,490.0,490.0,494.0,494.0,494.0,494.0,494.0,500.0,500.0,500.0,500.0,501.0,501.0,501.0,501.0,501.0,504.0,504.0,469.0,469.0,469.0,469.0,471.0,471.0,471.0,471.0,471.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,481.0,481.0,499.0,499.0,499.0,499.0,507.0,507.0,507.0,507.0,507.0,523.0,523.0,523.0,523.0,490.0,490.0,490.0,490.0,490.0,486.0,486.0,504.0,481.0,486.0,495.3333333333333,485.77777777777777,505.35555555555555,14.0,43.0,61.0,504.0,481.0,523.0
0,494.0,471.0,485.0,494.0,494.0,494.0,494.0,494.0,500.0,500.0,500.0,500.0,501.0,501.0,501.0,501.0,501.0,504.0,504.0,504.0,504.0,504.0,500.0,471.0,471.0,471.0,471.0,471.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,481.0,481.0,481.0,481.0,481.0,509.0,507.0,507.0,507.0,507.0,507.0,523.0,523.0,523.0,523.0,490.0,490.0,490.0,490.0,490.0,486.0,486.0,486.0,486.0,486.0,485.0,500.0,509.0,485.0,496.35555555555555,486.15555555555557,502.68888888888887,14.0,43.0,61.0,504.0,509.0,523.0
0,500.0,473.0,475.0,500.0,500.0,500.0,500.0,501.0,501.0,501.0,501.0,501.0,504.0,504.0,504.0,504.0,504.0,500.0,500.0,500.0,500.0,507.0,507.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,481.0,481.0,481.0,481.0,481.0,509.0,509.0,509.0,509.0,524.0,524.0,523.0,523.0,523.0,523.0,490.0,490.0,490.0,490.0,490.0,486.0,486.0,486.0,486.0,486.0,485.0,485.0,485.0,485.0,475.0,475.0,507.0,524.0,475.0,497.35555555555555,489.0,500.8666666666667,17.0,55.0,63.0,507.0,524.0,523.0
