,unixtime,emg0,emg1,emg0_ampl,emg1_ampl,emg0_med,emg1_med
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1555413308.390397,500.0,501.0,500.0,501.0,25.0,25.05
2,1555413308.4566836,503.0,543.0,503.0,543.0,50.15,52.2
3,1555413308.5204637,539.0,493.0,539.0,543.0,77.1,76.85
4,1555413308.583746,481.0,385.0,539.0,543.0,101.15,96.1
5,1555413308.6465082,545.0,442.0,545.0,543.0,128.4,118.2
6,1555413308.7097723,456.0,519.0,545.0,543.0,151.2,144.15
7,1555413308.7723095,561.0,498.0,561.0,543.0,179.25,169.05
8,1555413308.8385022,559.0,538.0,561.0,543.0,207.2,195.95
9,1555413308.900553,551.0,571.0,561.0,571.0,234.75,224.5
10,1555413308.9671004,537.0,568.0,561.0,571.0,261.6,252.9
11,1555413309.030986,497.0,576.0,561.0,576.0,286.45,281.7
12,1555413309.103891,570.0,424.0,570.0,576.0,314.95,302.9
13,1555413309.175398,540.0,457.0,570.0,576.0,341.95,325.75
14,1555413309.2399397,518.0,419.0,570.0,576.0,367.85,346.7
15,1555413309.3028352,514.0,397.0,570.0,576.0,393.55,366.55
16,1555413309.3788598,594.0,478.0,594.0,576.0,423.25,390.45
17,1555413309.4422402,619.0,476.0,619.0,576.0,454.2,414.25
18,1555413309.5044632,662.0,609.0,662.0,609.0,487.3,444.7
19,1555413309.5821981,551.0,576.0,662.0,609.0,514.85,473.5
20,1555413309.64534,519.0,486.0,206.0,224.0,540.8,497.8
21,1555413309.715996,536.0,385.0,206.0,224.0,542.6,492.0
22,1555413309.7964425,501.0,453.0,206.0,224.0,542.5,487.5
23,1555413309.8635848,469.0,564.0,206.0,224.0,539.0,491.05
24,1555413309.9264534,389.0,419.0,273.0,224.0,534.4,492.75
25,1555413310.005352,484.0,553.0,273.0,224.0,531.35,498.3
26,1555413310.0808456,468.0,526.0,273.0,224.0,531.95,498.65
27,1555413310.1599777,533.0,494.0,273.0,224.0,530.55,498.45
28,1555413310.2296379,583.0,512.0,273.0,224.0,531.75,497.15
29,1555413310.2970188,543.0,582.0,273.0,224.0,531.35,497.7
30,1555413310.367629,504.0,551.0,273.0,224.0,529.7,496.85
31,1555413310.4366274,511.0,502.0,273.0,224.0,530.4,493.15
32,1555413310.520407,334.0,454.0,328.0,224.0,518.6,494.65
33,1555413310.604861,449.0,541.0,328.0,224.0,514.05,498.85
34,1555413310.678528,425.0,543.0,328.0,224.0,509.4,505.05
35,1555413310.7535746,443.0,666.0,328.0,281.0,505.85,518.5
36,1555413310.8308039,463.0,478.0,328.0,281.0,499.3,518.5
37,1555413310.9121284,477.0,490.0,328.0,281.0,492.2,519.2
38,1555413310.9883776,557.0,592.0,249.0,281.0,486.95,518.35
39,1555413311.0648606,571.0,570.0,249.0,281.0,487.95,518.05
40,1555413311.1328607,592.0,584.0,258.0,281.0,491.6,522.95
41,1555413311.2016127,558.0,570.0,258.0,247.0,492.7,532.2
42,1555413311.272448,554.0,477.0,258.0,247.0,495.35,533.4
43,1555413311.3546588,593.0,358.0,259.0,308.0,501.55,523.1
44,1555413311.4285421,594.0,468.0,260.0,308.0,511.8,525.55
45,1555413311.4963727,604.0,506.0,270.0,308.0,517.8,523.2
46,1555413311.5770686,589.0,591.0,270.0,308.0,523.85,526.45
47,1555413311.6614997,526.0,586.0,270.0,308.0,523.5,531.05
48,1555413311.7337213,515.0,433.0,270.0,308.0,520.1,527.1
49,1555413311.798378,509.0,511.0,270.0,308.0,518.4,523.55
50,1555413311.8722296,476.0,643.0,270.0,308.0,517.0,528.15
51,1555413311.9477172,465.0,522.0,270.0,308.0,514.7,529.15
52,1555413312.0254166,451.0,445.0,179.0,308.0,520.55,528.7
53,1555413312.0916593,429.0,403.0,179.0,308.0,519.55,521.8
54,1555413312.1568158,435.0,492.0,175.0,308.0,520.05,519.25
55,1555413312.2240813,394.0,405.0,210.0,285.0,517.6,506.2
56,1555413312.293306,471.0,478.0,210.0,285.0,518.0,506.2
57,1555413312.361749,501.0,445.0,210.0,285.0,519.2,503.95
58,1555413312.4290705,441.0,438.0,210.0,285.0,513.4,496.25
59,1555413312.4987495,382.0,596.0,222.0,285.0,503.95,497.55
60,1555413312.564595,424.0,668.0,222.0,310.0,495.55,501.75
61,1555413312.629703,441.0,492.0,222.0,310.0,489.7,497.85
62,1555413312.6963875,531.0,642.0,222.0,310.0,488.55,506.1
63,1555413312.7655914,534.0,521.0,222.0,265.0,485.6,514.25
64,1555413312.8349073,562.0,584.0,222.0,265.0,484.0,520.05
65,1555413312.9028163,523.0,485.0,207.0,265.0,479.95,519.0
66,1555413312.9890747,536.0,436.0,180.0,265.0,477.3,511.25
67,1555413313.069094,551.0,331.0,180.0,337.0,478.55,498.5
68,1555413313.141447,444.0,161.0,180.0,507.0,475.0,484.9
69,1555413313.2148423,477.0,396.0,180.0,507.0,473.4,479.15
70,1555413313.2983546,479.0,412.0,180.0,507.0,473.55,467.6
71,1555413313.3746028,478.0,496.0,180.0,507.0,474.2,466.3
72,1555413313.450978,522.0,617.0,180.0,507.0,477.75,474.9
73,1555413313.5201483,527.0,610.0,180.0,507.0,482.65,485.25
74,1555413313.5987458,505.0,563.0,180.0,507.0,486.15,488.8
75,1555413313.676333,506.0,490.0,180.0,507.0,491.75,493.05
76,1555413313.7442005,527.0,486.0,180.0,507.0,494.55,493.45
77,1555413313.8168993,553.0,437.0,180.0,507.0,497.15,493.05
78,1555413313.9018524,517.0,464.0,180.0,507.0,500.95,494.35
79,1555413313.9742472,524.0,459.0,138.0,507.0,508.05,487.5
80,1555413314.0456035,501.0,547.0,121.0,481.0,511.9,481.45
81,1555413314.1154306,465.0,557.0,118.0,481.0,513.1,484.7
82,1555413314.1980984,487.0,599.0,118.0,456.0,510.9,482.55
83,1555413314.2874985,524.0,510.0,118.0,456.0,510.4,482.0
84,1555413314.362097,557.0,461.0,113.0,456.0,510.15,475.85
85,1555413314.4334905,568.0,307.0,124.0,456.0,512.4,466.95
86,1555413314.503314,558.0,290.0,124.0,456.0,513.5,459.65
87,1555413314.5681283,513.0,224.0,124.0,456.0,511.6,454.3
88,1555413314.6505415,470.0,228.0,103.0,393.0,512.9,457.65
89,1555413314.7278135,511.0,302.0,103.0,393.0,514.6,452.95
90,1555413314.7998247,458.0,171.0,110.0,446.0,513.55,440.9
91,1555413314.8827124,480.0,463.0,110.0,446.0,513.65,439.25
92,1555413314.9534962,454.0,399.0,114.0,439.0,510.25,428.35
93,1555413315.0329707,431.0,458.0,137.0,428.0,505.45,420.75
94,1555413315.1159565,462.0,514.0,137.0,428.0,503.3,418.3
95,1555413315.1903415,536.0,796.0,137.0,625.0,504.8,433.6
96,1555413315.2854857,525.0,604.0,137.0,625.0,504.7,439.5
97,1555413315.3680482,454.0,502.0,137.0,625.0,499.75,442.75
98,1555413315.4361246,471.0,481.0,137.0,625.0,497.45,443.6
99,1555413315.5132456,366.0,629.0,202.0,625.0,489.55,452.1
100,1555413315.5870428,415.0,550.0,202.0,625.0,485.25,452.25
101,1555413315.6568573,367.0,606.0,202.0,625.0,480.35,454.7
102,1555413315.7487495,503.0,1022.0,202.0,851.0,481.15,475.85
103,1555413315.8219123,435.0,688.0,202.0,851.0,476.7,484.75
104,1555413315.9026215,527.0,546.0,202.0,851.0,475.2,489.0
105,1555413315.9853532,678.0,476.0,312.0,851.0,480.7,497.45
106,1555413316.0528545,483.0,325.0,312.0,851.0,476.95,499.2
107,1555413316.1363637,427.0,438.0,312.0,851.0,472.65,509.9
108,1555413316.21162,531.0,423.0,312.0,851.0,475.7,519.65
109,1555413316.2889628,599.0,427.0,312.0,851.0,480.1,525.9
110,1555413316.3652098,471.0,478.0,312.0,697.0,480.75,541.25
111,1555413316.4439466,525.0,580.0,312.0,697.0,483.0,547.1
112,1555413316.519187,473.0,389.0,312.0,697.0,483.95,546.6
113,1555413316.59388,476.0,531.0,312.0,697.0,486.2,550.25
114,1555413316.6746333,596.0,941.0,312.0,697.0,492.9,571.6
115,1555413316.751457,507.0,493.0,312.0,697.0,491.45,556.45
116,1555413316.8326237,499.0,482.0,312.0,697.0,490.15,550.35
117,1555413316.9023504,592.0,274.0,312.0,748.0,497.05,538.95
118,1555413316.9706173,493.0,734.0,312.0,748.0,498.15,551.6
119,1555413317.0386872,427.0,521.0,311.0,748.0,501.2,546.2
120,1555413317.1095328,422.0,715.0,311.0,748.0,501.55,554.45
121,1555413317.1745946,592.0,644.0,256.0,748.0,512.8,556.35
122,1555413317.2420597,544.0,660.0,256.0,667.0,514.85,538.25
123,1555413317.3084226,488.0,508.0,256.0,667.0,517.5,529.25
124,1555413317.3808463,523.0,512.0,256.0,667.0,517.3,527.55
125,1555413317.4497857,558.0,578.0,177.0,667.0,511.3,532.65
126,1555413317.5190043,464.0,372.0,177.0,667.0,510.35,535.0
127,1555413317.5932052,568.0,283.0,177.0,667.0,517.4,527.25
128,1555413317.6709888,581.0,635.0,177.0,667.0,519.9,537.85
129,1555413317.7518806,565.0,380.0,174.0,667.0,518.2,535.5
130,1555413317.835172,557.0,347.0,174.0,667.0,522.5,528.95
131,1555413317.9109008,542.0,787.0,174.0,667.0,523.35,539.3
132,1555413317.9859812,509.0,478.0,174.0,667.0,525.15,543.75
133,1555413318.058684,391.0,542.0,205.0,667.0,520.9,544.3
134,1555413318.1320322,422.0,343.0,201.0,513.0,512.2,514.4
135,1555413318.2154431,467.0,201.0,201.0,586.0,510.2,499.8
136,1555413318.292048,531.0,488.0,201.0,586.0,511.8,500.1
137,1555413318.3589952,470.0,481.0,201.0,586.0,505.7,510.45
138,1555413318.4275427,543.0,824.0,201.0,623.0,508.2,514.95
139,1555413318.5171824,537.0,538.0,201.0,623.0,513.7,515.8
140,1555413318.591093,494.0,486.0,201.0,623.0,517.3,504.35
141,1555413318.6576467,481.0,747.0,190.0,623.0,511.75,509.5
142,1555413318.7418575,599.0,619.0,208.0,623.0,514.5,507.45
143,1555413318.823563,628.0,487.0,237.0,623.0,521.5,506.4
144,1555413318.9009032,583.0,372.0,237.0,623.0,524.5,499.4
145,1555413318.9800594,556.0,326.0,237.0,623.0,524.4,486.8
146,1555413319.0534964,542.0,561.0,237.0,623.0,528.3,496.25
147,1555413319.1467755,565.0,512.0,237.0,623.0,528.15,507.7
148,1555413319.2413936,499.0,524.0,237.0,623.0,524.05,502.15
149,1555413319.3296719,519.0,453.0,237.0,623.0,521.75,505.8
150,1555413319.4014943,355.0,441.0,273.0,623.0,511.65,510.5
151,1555413319.474298,477.0,482.0,273.0,623.0,508.4,495.25
152,1555413319.5445352,507.0,305.0,273.0,623.0,508.3,486.6
153,1555413319.611263,599.0,418.0,273.0,623.0,518.7,480.4
154,1555413319.6791723,574.0,494.0,273.0,623.0,526.3,487.95
155,1555413319.7519126,537.0,463.0,273.0,519.0,529.8,501.05
156,1555413319.8224,472.0,485.0,273.0,519.0,526.85,500.9
157,1555413319.8999636,548.0,891.0,273.0,586.0,530.75,521.4
158,1555413319.9761844,603.0,836.0,273.0,586.0,533.75,522.0
159,1555413320.0662475,429.0,675.0,273.0,586.0,528.35,528.85
160,1555413320.140228,407.0,484.0,273.0,586.0,524.0,528.75
161,1555413320.2067003,617.0,432.0,273.0,586.0,530.8,513.0
162,1555413320.273221,653.0,208.0,298.0,683.0,533.5,492.45
163,1555413320.345374,547.0,547.0,298.0,683.0,529.45,495.45
164,1555413320.415172,497.0,726.0,298.0,683.0,525.15,513.15
165,1555413320.486502,550.0,842.0,298.0,683.0,524.85,538.95
166,1555413320.5724113,512.0,494.0,298.0,683.0,523.35,535.6
167,1555413320.6395285,354.0,696.0,299.0,683.0,512.8,544.8
168,1555413320.7133074,441.0,404.0,299.0,683.0,509.9,538.8
169,1555413320.7895923,514.0,415.0,299.0,683.0,509.65,536.9
170,1555413320.8630612,623.0,446.0,299.0,683.0,523.05,537.15
171,1555413320.93975,653.0,338.0,299.0,683.0,531.85,529.95
172,1555413321.0183039,538.0,399.0,299.0,683.0,533.4,534.65
173,1555413321.0982091,502.0,397.0,299.0,683.0,528.55,533.6
174,1555413321.1754649,474.0,512.0,299.0,683.0,523.55,534.5
175,1555413321.2509735,508.0,583.0,299.0,683.0,522.1,540.5
176,1555413321.320878,451.0,541.0,299.0,683.0,521.05,543.3
