,unixtime,emg0,emg1
0,1555408858.882291,397.0,543.0
1,1555408858.9363701,471.0,581.0
2,1555408858.9918778,555.0,532.0
3,1555408859.0553274,643.0,463.0
4,1555408859.1082957,474.0,547.0
5,1555408859.1604028,663.0,375.0
6,1555408859.212063,514.0,541.0
7,1555408859.2638998,555.0,327.0
8,1555408859.3174086,467.0,524.0
9,1555408859.3702717,565.0,540.0
10,1555408859.4253323,542.0,537.0
11,1555408859.4790893,444.0,493.0
12,1555408859.5326777,524.0,526.0
13,1555408859.5873792,524.0,526.0
14,1555408859.638957,549.0,484.0
15,1555408859.6906204,649.0,493.0
16,1555408859.7426052,462.0,544.0
17,1555408859.796511,477.0,533.0
18,1555408859.8486755,460.0,507.0
19,1555408859.9030664,497.0,541.0
20,1555408859.956697,488.0,527.0
21,1555408860.014708,504.0,535.0
22,1555408860.0707843,544.0,547.0
23,1555408860.1230702,520.0,456.0
24,1555408860.1766107,492.0,509.0
25,1555408860.2339108,468.0,547.0
26,1555408860.2901933,456.0,591.0
27,1555408860.3447063,539.0,562.0
28,1555408860.3961198,524.0,540.0
29,1555408860.4488125,547.0,500.0
30,1555408860.5016758,473.0,498.0
31,1555408860.5574136,526.0,570.0
32,1555408860.6277297,518.0,533.0
33,1555408860.679164,496.0,517.0
34,1555408870.7890382,372.0,528.0
35,1555408870.8447144,413.0,598.0
36,1555408870.8963327,547.0,514.0
37,1555408870.9512193,598.0,553.0
38,1555408871.003,316.0,633.0
39,1555408871.0634923,462.0,583.0
40,1555408871.1214309,490.0,453.0
41,1555408871.1742175,611.0,384.0
42,1555408871.2256773,621.0,647.0
43,1555408871.2889707,530.0,408.0
44,1555408871.3410378,397.0,457.0
45,1555408871.3968387,356.0,472.0
46,1555408871.451694,356.0,472.0
47,1555408871.5032785,525.0,622.0
48,1555408871.5573392,550.0,530.0
49,1555408871.6092234,574.0,522.0
50,1555408871.6665494,560.0,539.0
51,1555408871.722862,461.0,554.0
52,1555408871.7756839,501.0,364.0
53,1555408871.8277135,580.0,590.0
54,1555408871.8810935,355.0,517.0
55,1555408871.9325278,498.0,498.0
56,1555408871.9847932,524.0,591.0
57,1555408872.0364017,484.0,541.0
58,1555408872.0888243,565.0,480.0
59,1555408872.1401994,463.0,492.0
60,1555408872.197844,470.0,488.0
61,1555408872.2503026,564.0,330.0
62,1555408872.3022377,631.0,495.0
63,1555408872.357466,631.0,495.0
64,1555408872.408872,524.0,414.0
65,1555408872.4616868,486.0,472.0
66,1555408872.5144668,555.0,630.0
67,1555408872.5718446,592.0,412.0
68,1555408872.62495,477.0,573.0
69,1555408872.6786273,453.0,601.0
70,1555408872.7304256,564.0,449.0
71,1555408872.7836096,564.0,449.0
72,1555408872.8372808,437.0,624.0
