,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,280.0,335.0,435.0,536.0,536.0,536.0,732.0,732.0,732.0,732.0,732.0,447.0,447.0,447.0,447.0,447.0,357.0,357.0,357.0,357.0,357.0,280.0,280.0,338.0,338.0,338.0,513.0,513.0,513.0,513.0,513.0,335.0,335.0,335.0,335.0,335.0,479.0,479.0,479.0,479.0,479.0,497.0,497.0,541.0,541.0,541.0,436.0,436.0,436.0,436.0,436.0,635.0,635.0,635.0,635.0,635.0,435.0,435.0,435.0,435.0,435.0,476.0,476.0,280.0,497.0,476.0,537.5555555555555,499.22222222222223,480.2888888888889,473.0,401.0,303.0,732.0,513.0,635.0
0,280.0,335.0,435.0,732.0,732.0,732.0,447.0,447.0,447.0,447.0,447.0,357.0,357.0,357.0,357.0,357.0,280.0,280.0,280.0,280.0,280.0,641.0,641.0,513.0,513.0,513.0,335.0,335.0,335.0,335.0,335.0,479.0,479.0,479.0,479.0,479.0,497.0,497.0,497.0,497.0,497.0,412.0,412.0,436.0,436.0,436.0,635.0,635.0,635.0,635.0,635.0,435.0,435.0,435.0,435.0,435.0,476.0,476.0,476.0,476.0,476.0,603.0,603.0,641.0,412.0,603.0,505.6666666666667,475.97777777777776,483.8666666666667,473.0,252.0,303.0,732.0,513.0,635.0
0,280.0,335.0,435.0,447.0,447.0,447.0,447.0,357.0,357.0,357.0,357.0,357.0,280.0,280.0,280.0,280.0,280.0,280.0,641.0,641.0,641.0,641.0,577.0,335.0,335.0,335.0,335.0,479.0,479.0,479.0,479.0,479.0,497.0,497.0,497.0,497.0,497.0,497.0,412.0,412.0,412.0,412.0,565.0,635.0,635.0,635.0,635.0,435.0,435.0,435.0,435.0,435.0,476.0,476.0,476.0,476.0,476.0,476.0,603.0,603.0,603.0,603.0,575.0,577.0,565.0,575.0,513.2222222222222,471.3777777777778,505.3777777777778,473.0,252.0,303.0,641.0,565.0,635.0
0,280.0,319.0,435.0,357.0,357.0,357.0,357.0,280.0,280.0,280.0,280.0,280.0,280.0,641.0,641.0,641.0,577.0,577.0,577.0,577.0,577.0,618.0,618.0,479.0,479.0,479.0,479.0,497.0,497.0,497.0,497.0,497.0,497.0,412.0,412.0,412.0,565.0,565.0,565.0,565.0,565.0,319.0,319.0,435.0,435.0,435.0,435.0,476.0,476.0,476.0,476.0,476.0,476.0,603.0,603.0,603.0,575.0,575.0,575.0,575.0,575.0,726.0,726.0,618.0,319.0,726.0,515.5777777777778,463.46666666666664,512.9555555555555,473.0,246.0,394.0,641.0,565.0,726.0
0,280.0,319.0,403.0,280.0,280.0,280.0,280.0,280.0,641.0,641.0,641.0,641.0,577.0,577.0,577.0,577.0,577.0,618.0,618.0,618.0,618.0,618.0,469.0,497.0,497.0,497.0,497.0,497.0,412.0,412.0,412.0,412.0,565.0,565.0,565.0,565.0,565.0,319.0,319.0,319.0,319.0,319.0,524.0,476.0,476.0,476.0,476.0,476.0,603.0,603.0,603.0,603.0,575.0,575.0,575.0,575.0,575.0,726.0,726.0,726.0,726.0,726.0,403.0,469.0,524.0,403.0,497.26666666666665,444.5777777777778,522.8888888888889,452.0,246.0,394.0,641.0,565.0,726.0
0,469.0,266.0,403.0,641.0,641.0,641.0,577.0,577.0,577.0,577.0,577.0,618.0,618.0,618.0,618.0,618.0,469.0,469.0,469.0,469.0,469.0,540.0,540.0,412.0,412.0,412.0,565.0,565.0,565.0,565.0,565.0,319.0,319.0,319.0,319.0,319.0,524.0,524.0,524.0,524.0,524.0,266.0,266.0,603.0,603.0,603.0,575.0,575.0,575.0,575.0,575.0,726.0,726.0,726.0,726.0,726.0,403.0,403.0,403.0,403.0,403.0,521.0,521.0,540.0,266.0,521.0,509.6,441.1333333333333,532.9555555555555,452.0,299.0,323.0,641.0,565.0,726.0
0,469.0,266.0,403.0,577.0,577.0,577.0,618.0,618.0,618.0,618.0,618.0,469.0,469.0,469.0,469.0,469.0,540.0,540.0,540.0,540.0,540.0,513.0,513.0,565.0,565.0,565.0,319.0,319.0,319.0,319.0,319.0,524.0,524.0,524.0,524.0,524.0,266.0,266.0,266.0,266.0,266.0,452.0,452.0,575.0,575.0,575.0,726.0,726.0,726.0,726.0,726.0,403.0,403.0,403.0,403.0,403.0,521.0,521.0,521.0,521.0,521.0,530.0,530.0,513.0,452.0,530.0,500.73333333333335,429.4888888888889,535.6,452.0,299.0,323.0,618.0,565.0,726.0
0,469.0,266.0,403.0,618.0,618.0,618.0,618.0,469.0,469.0,469.0,469.0,469.0,540.0,540.0,540.0,540.0,540.0,540.0,513.0,513.0,513.0,513.0,513.0,319.0,319.0,319.0,319.0,524.0,524.0,524.0,524.0,524.0,266.0,266.0,266.0,266.0,266.0,266.0,452.0,452.0,452.0,452.0,452.0,726.0,726.0,726.0,726.0,403.0,403.0,403.0,403.0,403.0,521.0,521.0,521.0,521.0,521.0,521.0,530.0,530.0,530.0,530.0,530.0,513.0,452.0,530.0,487.6,428.02222222222224,539.5333333333333,361.0,299.0,323.0,618.0,524.0,726.0
0,469.0,266.0,403.0,469.0,469.0,469.0,469.0,469.0,540.0,540.0,540.0,540.0,540.0,540.0,513.0,513.0,513.0,513.0,513.0,469.0,469.0,469.0,469.0,524.0,524.0,524.0,524.0,524.0,266.0,266.0,266.0,266.0,266.0,266.0,452.0,452.0,452.0,452.0,452.0,578.0,578.0,578.0,578.0,403.0,403.0,403.0,403.0,403.0,521.0,521.0,521.0,521.0,521.0,521.0,530.0,530.0,530.0,530.0,530.0,628.0,628.0,628.0,628.0,469.0,578.0,628.0,489.55555555555554,449.6222222222222,538.9111111111112,361.0,312.0,323.0,540.0,578.0,628.0
