,emg_max_0,emg_max_1,emg_max_2,emg_0,emg_1,emg_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_med_0,emg_med_1,emg_med_2,emg_min_0,emg_min_1,emg_min_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,407.0,824.0,716.0,362.0,667.0,673.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,362.0,362.0,362.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,667.0,667.0,667.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,673.0,673.0,673.0,45.0,157.0,43.0,404.0,813.5333333333333,713.1333333333333,362.0,667.0,673.0
0,459.0,824.0,716.0,459.0,613.0,548.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,362.0,362.0,362.0,362.0,362.0,362.0,459.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,667.0,667.0,667.0,667.0,667.0,667.0,613.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,673.0,673.0,673.0,673.0,673.0,673.0,548.0,97.0,211.0,168.0,402.15555555555557,798.3777777777777,706.5333333333333,362.0,613.0,548.0
0,491.0,824.0,716.0,491.0,715.0,348.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,362.0,362.0,362.0,362.0,362.0,362.0,459.0,459.0,459.0,491.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,667.0,667.0,667.0,667.0,667.0,667.0,613.0,613.0,613.0,715.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,673.0,673.0,673.0,673.0,673.0,673.0,548.0,548.0,548.0,348.0,129.0,211.0,368.0,406.3333333333333,786.5777777777778,690.8888888888889,362.0,613.0,348.0
0,491.0,824.0,716.0,491.0,715.0,348.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,362.0,362.0,362.0,362.0,362.0,459.0,459.0,459.0,491.0,491.0,491.0,491.0,500.0,824.0,824.0,824.0,824.0,824.0,824.0,824.0,667.0,667.0,667.0,667.0,667.0,613.0,613.0,613.0,715.0,715.0,715.0,715.0,676.0,716.0,716.0,716.0,716.0,716.0,716.0,716.0,673.0,673.0,673.0,673.0,673.0,548.0,548.0,548.0,348.0,348.0,348.0,348.0,572.0,129.0,211.0,368.0,411.93333333333334,779.3111111111111,666.3555555555556,362.0,613.0,348.0
0,552.0,824.0,716.0,552.0,572.0,629.0,407.0,407.0,407.0,362.0,362.0,362.0,362.0,362.0,362.0,459.0,459.0,459.0,491.0,491.0,491.0,500.0,500.0,500.0,552.0,552.0,824.0,824.0,824.0,667.0,667.0,667.0,667.0,667.0,667.0,613.0,613.0,613.0,715.0,715.0,715.0,676.0,676.0,676.0,572.0,572.0,716.0,716.0,716.0,673.0,673.0,673.0,673.0,673.0,673.0,548.0,548.0,548.0,348.0,348.0,348.0,572.0,572.0,572.0,629.0,629.0,190.0,252.0,368.0,421.35555555555555,763.8444444444444,654.8222222222222,362.0,572.0,348.0
0,552.0,715.0,673.0,489.0,394.0,646.0,362.0,362.0,362.0,362.0,362.0,459.0,459.0,459.0,491.0,491.0,491.0,491.0,500.0,500.0,500.0,552.0,552.0,552.0,552.0,489.0,667.0,667.0,667.0,667.0,667.0,613.0,613.0,613.0,715.0,715.0,715.0,715.0,676.0,676.0,676.0,572.0,572.0,572.0,572.0,394.0,673.0,673.0,673.0,673.0,673.0,548.0,548.0,548.0,348.0,348.0,348.0,348.0,572.0,572.0,572.0,629.0,629.0,629.0,629.0,646.0,190.0,430.0,368.0,432.84444444444443,737.4888888888889,647.4666666666667,362.0,394.0,348.0
0,628.0,715.0,646.0,628.0,455.0,539.0,459.0,459.0,459.0,491.0,491.0,491.0,491.0,500.0,500.0,500.0,552.0,552.0,552.0,552.0,489.0,489.0,489.0,489.0,489.0,628.0,613.0,613.0,613.0,715.0,715.0,715.0,715.0,676.0,676.0,676.0,572.0,572.0,572.0,572.0,394.0,394.0,394.0,394.0,394.0,455.0,548.0,548.0,548.0,348.0,348.0,348.0,348.0,572.0,572.0,572.0,629.0,629.0,629.0,629.0,646.0,646.0,646.0,646.0,646.0,539.0,266.0,430.0,368.0,445.0444444444444,691.0666666666667,637.3111111111111,459.0,394.0,348.0
0,628.0,715.0,646.0,628.0,455.0,539.0,491.0,491.0,491.0,500.0,500.0,500.0,552.0,552.0,552.0,552.0,489.0,489.0,489.0,489.0,489.0,628.0,628.0,628.0,628.0,628.0,715.0,715.0,715.0,676.0,676.0,676.0,572.0,572.0,572.0,572.0,394.0,394.0,394.0,394.0,394.0,455.0,455.0,455.0,455.0,455.0,348.0,348.0,348.0,572.0,572.0,572.0,629.0,629.0,629.0,629.0,646.0,646.0,646.0,646.0,646.0,539.0,539.0,539.0,539.0,539.0,266.0,430.0,368.0,464.68888888888887,658.2666666666667,621.5777777777778,489.0,394.0,348.0
0,628.0,676.0,688.0,525.0,664.0,688.0,500.0,552.0,552.0,552.0,552.0,489.0,489.0,489.0,489.0,489.0,628.0,628.0,628.0,628.0,628.0,525.0,525.0,525.0,525.0,525.0,676.0,572.0,572.0,572.0,572.0,394.0,394.0,394.0,394.0,394.0,455.0,455.0,455.0,455.0,455.0,664.0,664.0,664.0,664.0,664.0,572.0,629.0,629.0,629.0,629.0,646.0,646.0,646.0,646.0,646.0,539.0,539.0,539.0,539.0,539.0,688.0,688.0,688.0,688.0,688.0,266.0,430.0,368.0,477.8,640.4888888888889,618.4666666666667,489.0,394.0,539.0
