,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
0,1555416153.8144412,504.0,506.0,760.0,9.0,23.0,461.0,505.65,506.9
1,1555416153.8806746,500.0,507.0,678.0,10.0,23.0,461.0,505.2,506.9
2,1555416153.9483557,503.0,514.0,599.0,9.0,23.0,461.0,504.85,507.25
3,1555416154.0114193,506.0,517.0,548.0,9.0,22.0,461.0,504.75,507.2
4,1555416154.0807788,516.0,518.0,473.0,16.0,23.0,461.0,505.4,507.55
5,1555416154.1463673,520.0,523.0,326.0,20.0,28.0,461.0,506.2,508.2
6,1555416154.2214167,518.0,516.0,391.0,20.0,28.0,461.0,506.75,508.85
7,1555416154.287605,517.0,527.0,487.0,20.0,32.0,461.0,507.25,510.0
8,1555416154.366447,512.0,524.0,468.0,20.0,32.0,461.0,507.4,511.0
9,1555416154.4414854,511.0,519.0,453.0,20.0,32.0,461.0,507.5,511.6
10,1555416154.5046027,510.0,518.0,454.0,20.0,32.0,461.0,507.75,512.0
11,1555416154.5678174,507.0,514.0,384.0,20.0,32.0,461.0,507.65,511.9
12,1555416154.631982,506.0,523.0,380.0,20.0,32.0,461.0,507.75,512.35
13,1555416154.697534,505.0,529.0,454.0,20.0,34.0,461.0,507.9,513.2
14,1555416154.7711174,504.0,528.0,418.0,20.0,34.0,446.0,507.95,514.35
15,1555416154.8374407,508.0,528.0,528.0,20.0,34.0,434.0,508.3,515.65
16,1555416154.9045744,513.0,519.0,533.0,20.0,34.0,434.0,508.8,516.55
17,1555416154.9752357,513.0,518.0,474.0,20.0,26.0,434.0,509.15,517.7
18,1555416155.0409756,511.0,512.0,524.0,20.0,26.0,434.0,509.4,518.15
19,1555416155.1121616,512.0,515.0,471.0,20.0,23.0,434.0,509.8,518.75
20,1555416155.1827247,511.0,520.0,488.0,20.0,22.0,352.0,510.15,519.45
21,1555416155.2537322,513.0,526.0,522.0,17.0,17.0,273.0,510.8,520.4
22,1555416155.331037,512.0,529.0,464.0,16.0,17.0,222.0,511.25,521.15
23,1555416155.4053724,511.0,530.0,432.0,16.0,18.0,207.0,511.5,521.8
24,1555416155.4779522,507.0,513.0,327.0,16.0,18.0,207.0,511.05,521.55
25,1555416155.5531445,508.0,503.0,233.0,14.0,27.0,300.0,510.45,520.55
26,1555416155.6240292,506.0,499.0,377.0,13.0,31.0,300.0,509.85,519.7
27,1555416155.6964288,510.0,494.0,432.0,9.0,36.0,300.0,509.5,518.05
28,1555416155.7685452,507.0,486.0,703.0,9.0,44.0,470.0,509.25,516.15
29,1555416155.8466687,508.0,485.0,756.0,9.0,45.0,523.0,509.1,514.45
30,1555416155.9180045,508.0,487.0,692.0,9.0,45.0,523.0,509.0,512.9
31,1555416155.9914176,508.0,491.0,579.0,9.0,45.0,523.0,509.05,511.75
32,1555416156.063852,506.0,500.0,592.0,9.0,45.0,523.0,509.05,510.6
33,1555416156.1316235,506.0,501.0,566.0,9.0,45.0,523.0,509.1,509.2
34,1555416156.2216778,506.0,497.0,552.0,7.0,45.0,523.0,509.2,507.65
35,1555416156.2996416,504.0,495.0,528.0,9.0,45.0,523.0,509.0,506.0
36,1555416156.373464,501.0,501.0,526.0,12.0,45.0,523.0,508.4,505.1
37,1555416156.4504275,501.0,517.0,404.0,12.0,45.0,523.0,507.8,505.05
38,1555416156.5295322,505.0,512.0,384.0,12.0,45.0,523.0,507.5,505.05
39,1555416156.6003032,506.0,511.0,381.0,12.0,45.0,523.0,507.2,504.85
40,1555416156.673326,510.0,518.0,396.0,12.0,45.0,523.0,507.15,504.75
41,1555416156.7477417,512.0,525.0,411.0,11.0,45.0,523.0,507.1,504.7
42,1555416156.824451,513.0,528.0,385.0,12.0,45.0,523.0,507.15,504.65
43,1555416156.9046514,513.0,526.0,354.0,12.0,43.0,523.0,507.25,504.45
44,1555416156.9717102,512.0,513.0,383.0,12.0,43.0,523.0,507.5,504.45
45,1555416157.0480113,513.0,519.0,444.0,12.0,43.0,402.0,507.75,505.25
46,1555416157.1258123,515.0,515.0,553.0,14.0,43.0,402.0,508.2,506.05
47,1555416157.1980934,515.0,516.0,633.0,14.0,43.0,402.0,508.45,507.15
48,1555416157.269525,516.0,515.0,713.0,15.0,43.0,402.0,508.9,508.6
49,1555416157.357851,514.0,515.0,644.0,15.0,41.0,359.0,509.2,510.1
50,1555416157.436768,509.0,511.0,649.0,15.0,37.0,359.0,509.25,511.3
51,1555416157.5354285,507.0,508.0,649.0,15.0,33.0,359.0,509.2,512.15
52,1555416157.60473,508.0,508.0,590.0,15.0,33.0,359.0,509.3,512.55
53,1555416157.6748605,510.0,507.0,553.0,15.0,33.0,359.0,509.5,512.85
54,1555416157.7515032,512.0,506.0,494.0,15.0,33.0,359.0,509.8,513.3
55,1555416157.8266838,510.0,494.0,490.0,15.0,34.0,359.0,510.1,513.25
56,1555416157.8946679,506.0,497.0,420.0,15.0,34.0,359.0,510.35,513.05
57,1555416157.9731865,510.0,497.0,386.0,11.0,34.0,359.0,510.8,512.05
58,1555416158.0493333,510.0,503.0,349.0,10.0,34.0,364.0,511.05,511.6
59,1555416158.12794,509.0,502.0,393.0,10.0,34.0,364.0,511.2,511.15
60,1555416158.2066672,508.0,507.0,381.0,10.0,34.0,364.0,511.1,510.6
61,1555416158.2898767,506.0,509.0,453.0,10.0,34.0,364.0,510.8,509.8
62,1555416158.359536,507.0,512.0,497.0,10.0,32.0,364.0,510.5,509.0
63,1555416158.4456513,509.0,511.0,538.0,10.0,25.0,364.0,510.3,508.25
64,1555416158.5248246,509.0,514.0,572.0,10.0,25.0,364.0,510.15,508.3
65,1555416158.596266,508.0,506.0,581.0,10.0,22.0,364.0,509.9,507.65
66,1555416158.6683083,508.0,509.0,593.0,10.0,22.0,364.0,509.55,507.35
67,1555416158.7456155,508.0,510.0,586.0,10.0,21.0,364.0,509.2,507.05
68,1555416158.813809,508.0,512.0,568.0,8.0,21.0,300.0,508.8,506.9
69,1555416158.8855948,509.0,512.0,559.0,6.0,20.0,300.0,508.55,506.75
70,1555416158.9582982,508.0,515.0,528.0,6.0,21.0,300.0,508.5,506.95
71,1555416159.0329778,508.0,515.0,494.0,6.0,21.0,244.0,508.55,507.3
72,1555416159.1071985,508.0,511.0,389.0,6.0,21.0,244.0,508.55,507.45
73,1555416159.176372,510.0,507.0,346.0,6.0,21.0,247.0,508.55,507.45
74,1555416159.2458947,510.0,502.0,347.0,4.0,21.0,247.0,508.45,507.25
75,1555416159.3205707,511.0,500.0,378.0,5.0,18.0,247.0,508.5,507.55
76,1555416159.3975706,507.0,502.0,415.0,5.0,18.0,247.0,508.55,507.8
77,1555416159.4767816,508.0,504.0,491.0,5.0,15.0,247.0,508.45,508.15
78,1555416159.5540874,507.0,505.0,544.0,5.0,15.0,247.0,508.3,508.25
79,1555416159.6385894,508.0,514.0,548.0,5.0,15.0,247.0,508.25,508.85
80,1555416159.7086422,509.0,514.0,560.0,5.0,15.0,247.0,508.3,509.2
81,1555416159.7847807,509.0,515.0,571.0,4.0,15.0,247.0,508.45,509.5
82,1555416159.8761017,510.0,511.0,594.0,4.0,15.0,248.0,508.6,509.45
83,1555416159.9545133,511.0,514.0,575.0,4.0,15.0,248.0,508.7,509.6
84,1555416160.066389,513.0,509.0,511.0,6.0,15.0,248.0,508.9,509.35
85,1555416160.1558244,512.0,514.0,488.0,6.0,15.0,248.0,509.1,509.75
86,1555416160.2265546,511.0,516.0,485.0,6.0,16.0,248.0,509.25,510.1
87,1555416160.3091764,511.0,516.0,487.0,6.0,16.0,248.0,509.4,510.4
88,1555416160.3843093,508.0,514.0,464.0,6.0,16.0,248.0,509.4,510.5
89,1555416160.4644403,507.0,515.0,421.0,6.0,16.0,248.0,509.3,510.65
90,1555416160.544958,505.0,516.0,415.0,8.0,16.0,248.0,509.15,510.7
91,1555416160.6382866,507.0,512.0,446.0,8.0,16.0,248.0,509.1,510.55
92,1555416160.7193007,508.0,502.0,549.0,8.0,16.0,248.0,509.1,510.1
93,1555416160.7989104,506.0,501.0,563.0,8.0,16.0,247.0,508.9,509.8
94,1555416160.8686612,506.0,501.0,562.0,8.0,16.0,216.0,508.7,509.75
95,1555416160.9378712,507.0,496.0,559.0,8.0,20.0,179.0,508.5,509.55
96,1555416161.0111349,509.0,500.0,564.0,8.0,20.0,179.0,508.6,509.45
97,1555416161.0847838,510.0,505.0,573.0,8.0,20.0,179.0,508.7,509.5
98,1555416161.1715977,509.0,510.0,548.0,8.0,20.0,179.0,508.8,509.75
99,1555416161.2546003,507.0,510.0,487.0,8.0,20.0,179.0,508.75,509.55
100,1555416161.3494964,507.0,515.0,460.0,8.0,20.0,179.0,508.65,509.6
101,1555416161.4281716,508.0,512.0,452.0,8.0,20.0,179.0,508.6,509.45
102,1555416161.510973,510.0,519.0,458.0,8.0,23.0,160.0,508.6,509.85
103,1555416161.5954518,511.0,510.0,475.0,8.0,23.0,158.0,508.6,509.65
104,1555416161.6779141,509.0,511.0,487.0,7.0,23.0,158.0,508.4,509.75
105,1555416161.7544677,507.0,512.0,488.0,6.0,23.0,158.0,508.15,509.65
106,1555416161.8296878,509.0,509.0,498.0,6.0,23.0,158.0,508.05,509.3
107,1555416161.9075196,508.0,512.0,505.0,6.0,23.0,158.0,507.9,509.1
108,1555416161.9909549,508.0,511.0,554.0,6.0,23.0,158.0,507.9,508.95
109,1555416162.063604,508.0,508.0,552.0,6.0,23.0,158.0,507.95,508.6
110,1555416162.1374576,507.0,505.0,540.0,5.0,23.0,127.0,508.05,508.05
111,1555416162.2157836,508.0,501.0,549.0,5.0,23.0,121.0,508.1,507.5
112,1555416162.2963152,511.0,496.0,556.0,5.0,23.0,121.0,508.25,507.2
113,1555416162.3745365,510.0,498.0,523.0,5.0,23.0,121.0,508.45,507.05
114,1555416162.4539528,509.0,504.0,489.0,4.0,23.0,121.0,508.6,507.2
115,1555416162.5449657,509.0,508.0,451.0,4.0,23.0,122.0,508.7,507.8
116,1555416162.6269763,506.0,507.0,444.0,5.0,23.0,129.0,508.55,508.15
117,1555416162.7005866,507.0,505.0,472.0,5.0,23.0,112.0,508.4,508.15
118,1555416162.7801735,506.0,511.0,480.0,5.0,23.0,112.0,508.25,508.2
119,1555416162.8587148,508.0,512.0,485.0,5.0,23.0,112.0,508.3,508.3
120,1555416162.9370236,505.0,509.0,483.0,6.0,23.0,112.0,508.2,508.0
121,1555416163.0185976,509.0,510.0,460.0,6.0,23.0,112.0,508.25,507.9
122,1555416163.101282,510.0,505.0,457.0,6.0,16.0,112.0,508.25,507.2
123,1555416163.1796942,510.0,506.0,488.0,6.0,16.0,112.0,508.2,507.0
124,1555416163.2565768,509.0,506.0,545.0,6.0,16.0,112.0,508.2,506.75
125,1555416163.3359847,508.0,507.0,595.0,6.0,16.0,151.0,508.25,506.5
126,1555416163.4183397,510.0,510.0,565.0,6.0,16.0,151.0,508.3,506.55
127,1555416163.4919078,509.0,511.0,536.0,6.0,16.0,151.0,508.35,506.5
128,1555416163.5646598,509.0,510.0,526.0,6.0,16.0,151.0,508.4,506.45
129,1555416163.6532245,508.0,509.0,518.0,6.0,16.0,151.0,508.4,506.5
130,1555416163.7391267,508.0,498.0,483.0,6.0,16.0,151.0,508.45,506.15
131,1555416163.828687,510.0,495.0,476.0,6.0,17.0,151.0,508.55,505.85
132,1555416163.8988767,508.0,500.0,446.0,5.0,17.0,151.0,508.4,506.05
133,1555416163.9732277,508.0,495.0,471.0,5.0,17.0,151.0,508.3,505.9
134,1555416164.0491066,508.0,501.0,483.0,5.0,17.0,151.0,508.25,505.75
135,1555416164.1178339,507.0,503.0,494.0,5.0,17.0,151.0,508.15,505.5
136,1555416164.1975658,507.0,507.0,497.0,5.0,17.0,149.0,508.2,505.5
137,1555416164.2772925,508.0,504.0,484.0,5.0,17.0,149.0,508.25,505.45
138,1555416164.351274,507.0,513.0,505.0,5.0,18.0,149.0,508.3,505.55
139,1555416164.4252236,508.0,513.0,535.0,5.0,18.0,149.0,508.3,505.6
140,1555416164.4980671,510.0,514.0,552.0,3.0,19.0,149.0,508.55,505.85
141,1555416164.569008,512.0,504.0,569.0,5.0,19.0,149.0,508.7,505.55
142,1555416164.6415946,512.0,512.0,553.0,5.0,19.0,149.0,508.8,505.9
143,1555416164.711931,510.0,507.0,539.0,5.0,19.0,149.0,508.8,505.95
144,1555416164.7917225,507.0,507.0,501.0,5.0,19.0,149.0,508.7,506.0
145,1555416164.8796177,508.0,508.0,483.0,5.0,19.0,123.0,508.7,506.05
146,1555416164.9739156,506.0,505.0,466.0,6.0,19.0,123.0,508.5,505.8
147,1555416165.0509496,504.0,499.0,464.0,8.0,19.0,123.0,508.25,505.2
148,1555416165.1360598,507.0,499.0,463.0,8.0,19.0,123.0,508.15,504.65
149,1555416165.212459,510.0,497.0,487.0,8.0,19.0,123.0,508.25,504.05
150,1555416165.3013725,510.0,493.0,520.0,8.0,21.0,123.0,508.35,503.8
151,1555416165.3788836,510.0,497.0,535.0,8.0,21.0,123.0,508.35,503.9
152,1555416165.4587343,509.0,503.0,569.0,8.0,21.0,106.0,508.4,504.05
153,1555416165.5389352,510.0,506.0,553.0,8.0,21.0,106.0,508.5,504.6
154,1555416165.6238408,508.0,508.0,544.0,8.0,21.0,106.0,508.5,504.95
155,1555416165.708535,504.0,507.0,501.0,8.0,21.0,106.0,508.35,505.15
156,1555416165.8091667,506.0,509.0,490.0,8.0,21.0,106.0,508.3,505.25
157,1555416165.8932476,507.0,506.0,466.0,8.0,21.0,106.0,508.25,505.35
158,1555416165.9714377,510.0,500.0,463.0,8.0,21.0,106.0,508.4,504.7
159,1555416166.0490873,510.0,506.0,469.0,8.0,21.0,106.0,508.5,504.35
160,1555416166.1220965,510.0,509.0,482.0,8.0,19.0,106.0,508.5,504.1
161,1555416166.2068655,507.0,513.0,527.0,8.0,20.0,106.0,508.25,504.55
162,1555416166.285456,507.0,511.0,548.0,6.0,20.0,106.0,508.0,504.5
163,1555416166.3690395,506.0,511.0,554.0,6.0,20.0,106.0,507.8,504.7
164,1555416166.4506142,506.0,506.0,551.0,6.0,20.0,106.0,507.75,504.65
165,1555416166.5276465,509.0,506.0,521.0,6.0,20.0,106.0,507.8,504.55
166,1555416166.5991523,509.0,505.0,518.0,6.0,20.0,106.0,507.95,504.55
167,1555416166.687486,509.0,500.0,521.0,6.0,20.0,106.0,508.2,504.6
168,1555416166.769426,509.0,503.0,505.0,6.0,20.0,106.0,508.3,504.8
169,1555416166.8579566,507.0,506.0,486.0,6.0,20.0,106.0,508.15,505.25
170,1555416166.9363446,506.0,509.0,492.0,6.0,16.0,106.0,507.95,506.05
171,1555416167.0163987,507.0,511.0,513.0,6.0,13.0,106.0,507.8,506.75
172,1555416167.0971751,508.0,515.0,515.0,6.0,15.0,91.0,507.75,507.35
173,1555416167.1889484,507.0,512.0,536.0,6.0,15.0,91.0,507.6,507.65
174,1555416167.2800245,506.0,512.0,517.0,6.0,15.0,91.0,507.5,507.85
175,1555416167.3603737,509.0,510.0,483.0,4.0,15.0,91.0,507.75,508.0
176,1555416167.4310136,513.0,511.0,485.0,7.0,15.0,91.0,508.1,508.1
177,1555416167.5094597,515.0,516.0,500.0,9.0,16.0,91.0,508.5,508.6
178,1555416167.5855882,513.0,521.0,501.0,9.0,21.0,85.0,508.65,509.65
179,1555416167.6649413,507.0,516.0,523.0,9.0,21.0,72.0,508.5,510.15
180,1555416167.7456858,504.0,512.0,530.0,11.0,21.0,71.0,508.2,510.3
181,1555416167.8238049,505.0,509.0,501.0,11.0,21.0,71.0,508.1,510.1
182,1555416167.904621,509.0,508.0,502.0,11.0,21.0,71.0,508.2,509.95
183,1555416167.983623,512.0,511.0,490.0,11.0,21.0,68.0,508.5,509.95
184,1555416168.0776823,506.0,504.0,492.0,11.0,21.0,53.0,508.5,509.85
185,1555416168.1492896,507.0,499.0,519.0,11.0,22.0,53.0,508.4,509.5
186,1555416168.2179203,508.0,499.0,517.0,11.0,22.0,53.0,508.35,509.2
187,1555416168.287782,509.0,503.0,547.0,11.0,22.0,64.0,508.35,509.35
188,1555416168.3628569,509.0,502.0,565.0,11.0,22.0,82.0,508.35,509.3
189,1555416168.4407113,508.0,508.0,545.0,11.0,22.0,82.0,508.4,509.4
190,1555416168.529796,507.0,510.0,510.0,11.0,22.0,82.0,508.45,509.45
191,1555416168.601692,509.0,511.0,479.0,11.0,22.0,86.0,508.55,509.45
192,1555416168.673948,509.0,514.0,448.0,11.0,22.0,117.0,508.6,509.4
193,1555416168.7571573,509.0,512.0,478.0,11.0,22.0,117.0,508.7,509.4
194,1555416168.8312001,509.0,511.0,504.0,11.0,22.0,117.0,508.85,509.35
195,1555416168.918701,508.0,509.0,525.0,11.0,22.0,117.0,508.8,509.3
196,1555416168.999623,509.0,508.0,521.0,11.0,22.0,117.0,508.6,509.15
197,1555416169.081699,511.0,510.0,500.0,9.0,22.0,117.0,508.4,508.85
198,1555416169.1518645,512.0,514.0,491.0,8.0,17.0,117.0,508.35,508.5
199,1555416169.2318041,510.0,516.0,510.0,8.0,17.0,117.0,508.5,508.5
200,1555416169.3040435,509.0,515.0,523.0,7.0,17.0,117.0,508.75,508.65
201,1555416169.3837302,507.0,512.0,550.0,6.0,17.0,117.0,508.85,508.8
202,1555416169.4648569,509.0,505.0,541.0,6.0,17.0,117.0,508.85,508.65
203,1555416169.5396407,510.0,501.0,545.0,6.0,17.0,117.0,508.75,508.15
204,1555416169.608057,512.0,504.0,533.0,5.0,17.0,117.0,509.05,508.15
205,1555416169.6788213,510.0,504.0,506.0,5.0,17.0,117.0,509.2,508.4
206,1555416169.7633178,508.0,503.0,490.0,5.0,15.0,117.0,509.2,508.6
207,1555416169.8382947,509.0,508.0,423.0,5.0,15.0,142.0,509.2,508.85
208,1555416169.907631,509.0,511.0,420.0,5.0,15.0,130.0,509.2,509.3
209,1555416169.9777465,509.0,513.0,455.0,5.0,15.0,130.0,509.25,509.55
210,1555416170.0515254,508.0,514.0,498.0,5.0,15.0,130.0,509.3,509.75
211,1555416170.1348658,508.0,514.0,522.0,5.0,15.0,130.0,509.25,509.9
212,1555416170.221705,511.0,510.0,516.0,5.0,15.0,130.0,509.35,509.7
213,1555416170.2924745,511.0,512.0,512.0,5.0,15.0,130.0,509.45,509.7
214,1555416170.3713572,511.0,511.0,529.0,5.0,15.0,130.0,509.55,509.7
215,1555416170.4494011,509.0,515.0,567.0,5.0,15.0,147.0,509.6,510.0
216,1555416170.5240066,510.0,516.0,587.0,5.0,15.0,167.0,509.65,510.4
217,1555416170.6021254,510.0,518.0,563.0,5.0,17.0,167.0,509.6,510.8
218,1555416170.6817796,509.0,517.0,530.0,5.0,17.0,167.0,509.45,510.95
219,1555416170.767379,509.0,515.0,508.0,5.0,17.0,167.0,509.4,510.9
220,1555416170.848701,508.0,513.0,453.0,5.0,17.0,167.0,509.35,510.8
221,1555416170.9465835,509.0,506.0,442.0,4.0,17.0,167.0,509.45,510.5
222,1555416171.0343072,509.0,502.0,425.0,4.0,17.0,167.0,509.45,510.35
223,1555416171.1245606,508.0,502.0,495.0,4.0,16.0,167.0,509.35,510.4
224,1555416171.2038321,506.0,505.0,514.0,5.0,16.0,167.0,509.05,510.45
225,1555416171.2834892,506.0,508.0,535.0,5.0,16.0,167.0,508.85,510.65
226,1555416171.3523183,508.0,509.0,523.0,5.0,16.0,167.0,508.85,510.95
227,1555416171.4419303,509.0,511.0,509.0,5.0,16.0,167.0,508.85,511.1
228,1555416171.523607,509.0,512.0,534.0,5.0,16.0,162.0,508.85,511.15
229,1555416171.595616,508.0,515.0,557.0,5.0,16.0,162.0,508.8,511.25
230,1555416171.6753693,508.0,510.0,551.0,5.0,16.0,162.0,508.8,511.05
231,1555416171.76036,511.0,507.0,544.0,5.0,16.0,162.0,508.95,510.7
232,1555416171.8530023,512.0,505.0,525.0,6.0,16.0,162.0,509.0,510.45
233,1555416171.9337425,512.0,505.0,525.0,6.0,16.0,162.0,509.05,510.1
234,1555416172.0132313,509.0,507.0,453.0,6.0,16.0,162.0,508.95,509.9
235,1555416172.089223,513.0,505.0,536.0,7.0,16.0,162.0,509.15,509.4
236,1555416172.1724539,511.0,510.0,558.0,7.0,16.0,138.0,509.2,509.1
237,1555416172.265689,510.0,511.0,558.0,7.0,15.0,133.0,509.2,508.75
238,1555416172.3495936,510.0,511.0,558.0,7.0,13.0,133.0,509.25,508.45
239,1555416172.4304426,509.0,512.0,431.0,7.0,13.0,133.0,509.25,508.3
240,1555416172.5086002,509.0,507.0,453.0,7.0,13.0,133.0,509.3,508.0
241,1555416172.6008506,511.0,508.0,497.0,7.0,13.0,133.0,509.4,508.1
242,1555416172.6781662,511.0,510.0,558.0,7.0,13.0,127.0,509.5,508.5
243,1555416172.7526398,511.0,508.0,553.0,7.0,10.0,127.0,509.65,508.8
244,1555416172.8349252,510.0,511.0,558.0,7.0,10.0,127.0,509.85,509.1
245,1555416172.9471066,508.0,514.0,431.0,5.0,10.0,127.0,509.95,509.4
246,1555416173.0265431,509.0,512.0,431.0,5.0,10.0,127.0,510.0,509.55
247,1555416173.1016169,511.0,508.0,497.0,5.0,10.0,127.0,510.1,509.4
248,1555416173.1753743,513.0,505.0,536.0,5.0,10.0,127.0,510.3,509.05
249,1555416173.2519994,511.0,510.0,558.0,5.0,9.0,127.0,510.45,508.8
250,1555416173.3297408,511.0,508.0,553.0,5.0,9.0,127.0,510.6,508.7
251,1555416173.4084952,510.0,511.0,558.0,5.0,9.0,127.0,510.55,508.9
252,1555416173.4942195,507.0,512.0,549.0,6.0,9.0,127.0,510.3,509.25
253,1555416173.5889716,508.0,515.0,546.0,6.0,10.0,127.0,510.1,509.75
254,1555416173.672478,508.0,514.0,512.0,6.0,10.0,127.0,510.05,510.1
255,1555416173.7486124,509.0,511.0,472.0,6.0,10.0,127.0,509.85,510.4
256,1555416173.8270583,511.0,506.0,427.0,6.0,10.0,131.0,509.85,510.2
