,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,17.0,133.0,67.0,513.0,611.0,511.0,507.26666666666665,514.7666666666667,501.03333333333336,506.0,532.0,510.0,498.0,488.0,468.0,507.0,507.0,501.0,504.0,504.0,501.0,498.0,500.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,511.0,510.0,521.0,527.0,488.0,488.0,510.0,516.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,511.0,502.0,468.0,504.0,504.0,499.0,499.0,503.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0
0,17.0,133.0,67.0,513.0,611.0,511.0,507.03333333333336,516.4666666666667,501.43333333333334,503.0,541.0,511.0,498.0,488.0,468.0,507.0,501.0,504.0,504.0,501.0,498.0,500.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,503.0,510.0,521.0,527.0,488.0,488.0,510.0,516.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,541.0,502.0,468.0,504.0,504.0,499.0,499.0,503.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0,511.0
0,17.0,128.0,67.0,513.0,611.0,511.0,506.8,518.4,501.7,504.0,536.0,503.0,498.0,488.0,468.0,501.0,504.0,504.0,501.0,498.0,500.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,503.0,504.0,521.0,527.0,488.0,488.0,510.0,516.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,541.0,536.0,468.0,504.0,504.0,499.0,499.0,503.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0,511.0,503.0
0,17.0,128.0,67.0,513.0,611.0,511.0,506.8333333333333,518.7,501.8666666666667,505.0,504.0,503.0,498.0,488.0,469.0,504.0,504.0,501.0,498.0,500.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,503.0,504.0,505.0,527.0,488.0,488.0,510.0,516.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,541.0,536.0,504.0,504.0,504.0,499.0,499.0,503.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0,511.0,503.0,503.0
0,17.0,128.0,67.0,513.0,611.0,511.0,506.73333333333335,518.9666666666667,501.56666666666666,504.0,498.0,503.0,498.0,488.0,469.0,504.0,501.0,498.0,500.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,503.0,504.0,505.0,504.0,488.0,488.0,510.0,516.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,541.0,536.0,504.0,498.0,504.0,499.0,499.0,503.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0,511.0,503.0,503.0,503.0
0,17.0,136.0,67.0,513.0,611.0,511.0,506.6,518.6666666666666,500.93333333333334,505.0,475.0,507.0,498.0,475.0,469.0,501.0,498.0,500.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,503.0,504.0,505.0,504.0,505.0,488.0,510.0,516.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,541.0,536.0,504.0,498.0,475.0,499.0,499.0,503.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0,511.0,503.0,503.0,503.0,507.0
0,15.0,136.0,65.0,513.0,611.0,511.0,506.43333333333334,519.6333333333333,499.6333333333333,510.0,512.0,496.0,498.0,475.0,469.0,498.0,500.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,503.0,504.0,505.0,504.0,505.0,510.0,510.0,516.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,541.0,536.0,504.0,498.0,475.0,512.0,499.0,503.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0,511.0,503.0,503.0,503.0,507.0,496.0
0,17.0,136.0,53.0,515.0,611.0,511.0,506.53333333333336,521.0666666666667,498.6666666666667,515.0,544.0,504.0,500.0,475.0,469.0,500.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,503.0,504.0,505.0,504.0,505.0,510.0,515.0,516.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,541.0,536.0,504.0,498.0,475.0,512.0,544.0,503.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0,511.0,503.0,503.0,503.0,507.0,496.0,504.0
0,17.0,136.0,43.0,515.0,611.0,511.0,506.56666666666666,521.6666666666666,497.76666666666665,511.0,523.0,494.0,503.0,475.0,469.0,504.0,504.0,506.0,510.0,510.0,512.0,513.0,512.0,509.0,506.0,510.0,506.0,503.0,504.0,505.0,504.0,505.0,510.0,515.0,511.0,534.0,545.0,611.0,559.0,526.0,529.0,529.0,504.0,505.0,500.0,534.0,532.0,541.0,536.0,504.0,498.0,475.0,512.0,544.0,523.0,489.0,469.0,474.0,485.0,494.0,492.0,498.0,502.0,503.0,495.0,500.0,510.0,511.0,503.0,503.0,503.0,507.0,496.0,504.0,494.0
