,unixtime,emg0,emg1,emg0_ampl,emg1_ampl,emg0_med,emg1_med
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1555413196.4115133,501.0,526.0,501.0,526.0,25.05,26.3
2,1555413196.4782555,499.0,541.0,501.0,541.0,50.0,53.35
3,1555413196.5427341,499.0,529.0,501.0,541.0,74.95,79.8
4,1555413196.6074662,502.0,526.0,502.0,541.0,100.05,106.1
5,1555413196.6716907,512.0,522.0,512.0,541.0,125.65,132.2
6,1555413196.7326794,514.0,495.0,514.0,541.0,151.35,156.95
7,1555413196.7919881,510.0,501.0,514.0,541.0,176.85,182.0
8,1555413196.854517,520.0,493.0,520.0,541.0,202.85,206.65
9,1555413196.9197056,519.0,497.0,520.0,541.0,228.8,231.5
10,1555413196.9883795,492.0,482.0,520.0,541.0,253.4,255.6
11,1555413197.0511844,491.0,486.0,520.0,541.0,277.95,279.9
12,1555413197.1169388,501.0,518.0,520.0,541.0,303.0,305.8
13,1555413197.1806674,499.0,529.0,520.0,541.0,327.95,332.25
14,1555413197.244791,501.0,502.0,520.0,541.0,353.0,357.35
15,1555413197.3111188,506.0,506.0,520.0,541.0,378.3,382.65
16,1555413197.378654,509.0,508.0,520.0,541.0,403.75,408.05
17,1555413197.4462879,517.0,497.0,520.0,541.0,429.6,432.9
18,1555413197.5129185,512.0,496.0,520.0,541.0,455.2,457.7
19,1555413197.5804992,518.0,512.0,520.0,541.0,481.1,483.3
20,1555413197.6425755,506.0,506.0,29.0,59.0,506.4,508.6
21,1555413197.704536,509.0,532.0,29.0,59.0,506.8,508.9
22,1555413197.77219,501.0,532.0,29.0,50.0,506.9,508.45
23,1555413197.834952,504.0,517.0,29.0,50.0,507.15,507.85
24,1555413197.9042845,507.0,502.0,29.0,50.0,507.4,506.65
25,1555413197.9669797,508.0,499.0,29.0,50.0,507.2,505.5
26,1555413198.042055,513.0,489.0,29.0,50.0,507.15,505.2
27,1555413198.105704,510.0,494.0,29.0,50.0,507.15,504.85
28,1555413198.1680272,514.0,510.0,28.0,50.0,506.85,505.7
29,1555413198.2362683,515.0,520.0,27.0,50.0,506.65,506.85
30,1555413198.319196,512.0,533.0,27.0,47.0,507.65,509.4
31,1555413198.3824968,512.0,540.0,19.0,51.0,508.7,512.1
32,1555413198.4514363,509.0,532.0,19.0,51.0,509.1,512.8
33,1555413198.5180004,505.0,495.0,17.0,51.0,509.4,511.1
34,1555413198.5836573,504.0,487.0,17.0,53.0,509.55,510.35
35,1555413198.6553693,510.0,495.0,17.0,53.0,509.75,509.8
36,1555413198.729055,512.0,481.0,17.0,59.0,509.9,508.45
37,1555413198.7958674,509.0,505.0,17.0,59.0,509.5,508.85
38,1555413198.8654957,498.0,520.0,20.0,59.0,508.8,510.05
39,1555413198.930545,501.0,537.0,17.0,59.0,507.95,511.3
40,1555413199.0002468,501.0,540.0,17.0,59.0,507.7,513.0
41,1555413199.0684373,508.0,520.0,17.0,59.0,507.65,512.4
42,1555413199.1329942,513.0,506.0,17.0,59.0,508.25,511.1
43,1555413199.2008066,514.0,505.0,17.0,59.0,508.75,510.5
44,1555413199.2695115,517.0,510.0,19.0,59.0,509.25,510.9
45,1555413199.3386128,510.0,500.0,19.0,59.0,509.35,510.95
46,1555413199.4127927,518.0,482.0,20.0,59.0,509.6,510.6
47,1555413199.4784727,529.0,497.0,31.0,59.0,510.55,510.75
48,1555413199.5411718,514.0,475.0,31.0,65.0,510.55,509.0
49,1555413199.6119633,514.0,475.0,31.0,65.0,510.5,506.75
50,1555413199.6886609,515.0,527.0,31.0,65.0,510.65,506.45
51,1555413199.7672136,500.0,485.0,31.0,65.0,510.05,503.7
52,1555413199.8372226,499.0,479.0,31.0,65.0,509.55,501.05
53,1555413199.9020467,510.0,502.0,31.0,65.0,509.8,501.4
54,1555413199.976426,495.0,497.0,34.0,65.0,509.35,501.9
55,1555413200.0449896,508.0,537.0,34.0,65.0,509.25,504.0
56,1555413200.108421,514.0,491.0,34.0,65.0,509.35,504.5
57,1555413200.1791925,510.0,518.0,34.0,65.0,509.4,505.15
58,1555413200.2507443,505.0,521.0,34.0,65.0,509.75,505.2
59,1555413200.3160622,492.0,488.0,37.0,65.0,509.3,502.75
60,1555413200.3875523,487.0,465.0,42.0,72.0,508.6,499.0
61,1555413200.4629588,501.0,484.0,42.0,72.0,508.25,497.2
62,1555413200.5427463,493.0,511.0,42.0,72.0,507.25,497.45
63,1555413200.6279485,505.0,522.0,42.0,72.0,506.8,498.3
64,1555413200.7125516,508.0,529.0,42.0,72.0,506.35,499.25
65,1555413200.7913232,502.0,499.0,42.0,72.0,505.95,499.2
66,1555413200.8727455,522.0,508.0,42.0,72.0,506.15,500.5
67,1555413200.943268,515.0,510.0,35.0,72.0,505.45,501.15
68,1555413201.0114086,512.0,513.0,35.0,72.0,505.35,503.05
69,1555413201.0808039,510.0,520.0,35.0,72.0,505.15,505.3
70,1555413201.1618779,510.0,517.0,35.0,72.0,504.9,504.8
71,1555413201.2493334,519.0,481.0,35.0,72.0,505.85,504.6
72,1555413201.3285954,521.0,497.0,35.0,72.0,506.95,505.5
73,1555413201.4057202,562.0,577.0,75.0,112.0,509.55,509.25
74,1555413201.4756145,528.0,517.0,75.0,112.0,511.2,510.25
75,1555413201.5625865,519.0,512.0,75.0,112.0,511.75,509.0
76,1555413201.6503677,512.0,532.0,75.0,112.0,511.65,511.05
77,1555413201.7293308,499.0,529.0,75.0,112.0,511.1,511.6
78,1555413201.8009903,501.0,502.0,75.0,112.0,510.9,510.65
79,1555413201.8712173,480.0,504.0,82.0,112.0,510.3,511.45
80,1555413201.9432945,479.0,513.0,83.0,96.0,509.9,513.85
