,unixtime,emg0,emg1
0,1555408804.9099011,501.0,509.0
1,1555408804.9619942,507.0,510.0
2,1555408805.0142179,508.0,508.0
3,1555408805.0679743,506.0,509.0
4,1555408805.1199665,508.0,509.0
5,1555408805.1744967,511.0,511.0
6,1555408805.2276523,509.0,506.0
7,1555408805.2829497,506.0,507.0
8,1555408805.3347487,508.0,507.0
9,1555408805.3864403,508.0,510.0
10,1555408805.4390814,503.0,511.0
11,1555408805.4993274,499.0,513.0
12,1555408805.5534635,499.0,513.0
13,1555408805.6054606,509.0,512.0
14,1555408805.6602726,510.0,510.0
15,1555408805.712137,503.0,511.0
16,1555408805.7647672,508.0,512.0
17,1555408805.817933,521.0,510.0
18,1555408805.873111,520.0,508.0
19,1555408805.9249728,504.0,509.0
20,1555408805.9776044,504.0,507.0
21,1555408806.029267,507.0,509.0
22,1555408806.0805402,505.0,511.0
23,1555408806.1341805,505.0,512.0
24,1555408806.18843,511.0,508.0
25,1555408806.2415829,511.0,509.0
26,1555408806.2937558,513.0,508.0
27,1555408806.3466687,510.0,510.0
28,1555408806.3990512,510.0,510.0
29,1555408806.453941,509.0,509.0
30,1555408806.5060928,510.0,510.0
31,1555408806.5579104,509.0,509.0
32,1555408806.6109128,510.0,509.0
33,1555408806.665684,511.0,510.0
34,1555408806.7174742,504.0,511.0
35,1555408806.7719889,507.0,507.0
36,1555408806.823813,513.0,509.0
37,1555408806.8791,510.0,508.0
38,1555408806.9309752,508.0,513.0
39,1555408806.982903,508.0,513.0
40,1555408807.0377333,518.0,509.0
41,1555408807.0959709,519.0,510.0
42,1555408807.1473093,504.0,510.0
43,1555408807.1986766,503.0,507.0
44,1555408807.250761,506.0,508.0
45,1555408807.3046966,499.0,509.0
46,1555408807.3585637,497.0,510.0
47,1555408807.411995,496.0,509.0
48,1555408807.4644525,498.0,506.0
49,1555408807.515823,495.0,506.0
50,1555408807.5705955,501.0,508.0
51,1555408807.626118,507.0,507.0
52,1555408807.6789477,509.0,506.0
53,1555408807.7386253,510.0,507.0
54,1555408807.7908366,512.0,508.0
55,1555408807.8425994,506.0,509.0
56,1555408807.8946154,498.0,512.0
57,1555408807.9501536,506.0,514.0
58,1555408808.0049922,514.0,516.0
59,1555408808.0651956,498.0,512.0
60,1555408808.116815,501.0,514.0
61,1555408808.1717024,513.0,513.0
62,1555408808.2266774,516.0,509.0
63,1555408808.28203,525.0,506.0
64,1555408808.3344672,536.0,508.0
65,1555408808.3878188,551.0,509.0
66,1555408808.4394987,551.0,509.0
67,1555408808.4924836,544.0,507.0
68,1555408808.5451882,535.0,510.0
69,1555408808.5966523,553.0,511.0
70,1555408808.6544316,555.0,514.0
71,1555408808.7061036,508.0,514.0
72,1555408808.757996,489.0,510.0
73,1555408808.809798,505.0,512.0
74,1555408808.864744,512.0,515.0
75,1555408808.916742,504.0,515.0
76,1555408808.9687443,508.0,511.0
77,1555408809.0205276,516.0,509.0
78,1555408809.0739691,516.0,509.0
79,1555408809.1329153,515.0,508.0
80,1555408809.1864736,507.0,509.0
81,1555408809.2392516,507.0,511.0
82,1555408809.291438,504.0,509.0
83,1555408809.3432617,502.0,508.0
84,1555408809.3964167,488.0,506.0
85,1555408809.449308,486.0,510.0
86,1555408809.5026932,497.0,511.0
87,1555408809.5553288,505.0,510.0
88,1555408809.6099603,508.0,507.0
89,1555408809.6613631,506.0,501.0
90,1555408809.7129478,505.0,500.0
91,1555408809.7788455,495.0,500.0
92,1555408809.8337743,488.0,503.0
93,1555408809.8876073,488.0,503.0
94,1555408809.939569,483.0,502.0
95,1555408809.9918036,478.0,506.0
96,1555408810.046089,490.0,507.0
97,1555408810.1014442,497.0,508.0
98,1555408810.1532562,507.0,511.0
99,1555408810.2053063,512.0,508.0
100,1555408810.257363,523.0,505.0
101,1555408810.3103533,528.0,504.0
102,1555408810.3619125,515.0,508.0
103,1555408810.4136698,507.0,508.0
104,1555408810.4684079,505.0,509.0
105,1555408810.5246816,496.0,512.0
106,1555408810.5805795,499.0,510.0
107,1555408810.6326182,507.0,513.0
108,1555408810.684599,506.0,511.0
109,1555408810.7365408,506.0,509.0
110,1555408810.788298,511.0,507.0
111,1555408810.8431559,511.0,509.0
112,1555408810.8959672,515.0,510.0
113,1555408810.947844,510.0,506.0
114,1555408811.0010765,514.0,510.0
115,1555408811.05835,517.0,511.0
116,1555408811.1113515,517.0,511.0
117,1555408811.163751,521.0,511.0
118,1555408811.21667,504.0,510.0
119,1555408811.2717721,504.0,510.0
120,1555408811.3273654,511.0,510.0
121,1555408811.3815825,511.0,509.0
122,1555408811.4383929,511.0,509.0
123,1555408811.4941404,518.0,508.0
124,1555408811.5459034,517.0,505.0
125,1555408811.598144,508.0,506.0
126,1555408811.6512632,495.0,506.0
127,1555408811.708339,495.0,506.0
128,1555408811.760644,502.0,505.0
129,1555408811.812786,501.0,505.0
130,1555408811.8657956,496.0,506.0
131,1555408811.9175851,499.0,508.0
132,1555408811.9699216,509.0,508.0
133,1555408812.022039,511.0,509.0
134,1555408812.074793,510.0,507.0
135,1555408812.130051,505.0,507.0
136,1555408812.1892998,514.0,506.0
137,1555408812.2406073,519.0,507.0
138,1555408812.2919478,513.0,510.0
139,1555408812.348974,513.0,510.0
140,1555408812.4067588,509.0,511.0
141,1555408812.4587061,514.0,509.0
142,1555408812.512254,513.0,511.0
143,1555408812.5653377,509.0,510.0
144,1555408812.6170511,510.0,510.0
145,1555408812.672041,514.0,509.0
146,1555408812.7255557,514.0,509.0
147,1555408812.7789416,522.0,509.0
148,1555408812.8337777,515.0,507.0
149,1555408812.8871667,515.0,507.0
150,1555408812.9398935,511.0,508.0
151,1555408812.9946508,500.0,505.0
152,1555408813.0567052,505.0,505.0
153,1555408813.1090958,501.0,505.0
154,1555408813.1611383,506.0,506.0
155,1555408813.217453,512.0,505.0
156,1555408813.2696407,518.0,506.0
157,1555408813.32134,517.0,504.0
158,1555408813.373655,512.0,503.0
159,1555408813.4255402,511.0,502.0
160,1555408813.4803836,510.0,503.0
161,1555408813.5360997,510.0,504.0
162,1555408813.5925083,508.0,504.0
163,1555408813.6442842,506.0,506.0
164,1555408813.6961825,506.0,507.0
165,1555408813.7488728,509.0,506.0
166,1555408813.8079512,507.0,509.0
167,1555408813.8607275,506.0,510.0
168,1555408813.9126494,507.0,508.0
169,1555408813.9653647,504.0,509.0
170,1555408814.020691,505.0,508.0
171,1555408814.0731237,507.0,510.0
172,1555408814.1255198,506.0,511.0
173,1555408814.1768913,512.0,510.0
174,1555408814.2419157,520.0,510.0
175,1555408814.2948277,520.0,510.0
176,1555408814.3498957,525.0,509.0
