,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
0,1555416695.094791,513.0,522.0,550.0,126.0,204.0,232.0,510.25,513.4
1,1555416695.1578457,469.0,468.0,586.0,119.0,204.0,232.0,511.65,506.35
2,1555416695.2267568,479.0,505.0,595.0,114.0,204.0,232.0,513.2,502.7
3,1555416695.292374,493.0,518.0,550.0,106.0,204.0,232.0,515.2,500.45
4,1555416695.3582795,497.0,528.0,479.0,98.0,204.0,232.0,517.0,498.45
5,1555416695.422965,481.0,569.0,408.0,98.0,204.0,228.0,517.0,499.15
6,1555416695.4973133,497.0,521.0,383.0,98.0,204.0,253.0,517.15,496.6
7,1555416695.5663278,509.0,509.0,399.0,98.0,204.0,253.0,516.85,499.95
8,1555416695.6321049,510.0,525.0,443.0,98.0,197.0,253.0,516.15,504.7
9,1555416695.7044096,510.0,527.0,506.0,98.0,197.0,253.0,515.2,508.75
10,1555416695.7822864,517.0,561.0,584.0,98.0,197.0,212.0,513.0,511.4
11,1555416695.8479257,505.0,512.0,625.0,98.0,197.0,242.0,510.35,512.05
12,1555416695.9123487,502.0,515.0,612.0,98.0,197.0,242.0,507.1,511.05
13,1555416695.9815662,496.0,498.0,581.0,89.0,132.0,242.0,503.55,504.25
14,1555416696.0640633,489.0,489.0,565.0,64.0,132.0,242.0,500.1,506.25
15,1555416696.1316955,497.0,535.0,527.0,57.0,132.0,242.0,498.3,510.1
16,1555416696.2044506,533.0,534.0,473.0,64.0,132.0,242.0,498.65,511.85
17,1555416696.2728112,560.0,485.0,429.0,91.0,114.0,242.0,501.8,514.25
18,1555416696.3446386,533.0,486.0,429.0,91.0,101.0,242.0,503.8,515.8
19,1555416696.4089677,841.0,496.0,461.0,372.0,101.0,242.0,521.55,515.15
20,1555416696.483042,809.0,639.0,508.0,372.0,171.0,242.0,536.35,521.0
21,1555416696.5497642,619.0,615.0,557.0,362.0,154.0,242.0,543.85,528.35
22,1555416696.617226,601.0,594.0,564.0,360.0,154.0,242.0,549.95,532.8
23,1555416696.6931603,400.0,531.0,568.0,441.0,154.0,242.0,545.3,533.45
24,1555416696.7638884,387.0,510.0,572.0,454.0,154.0,242.0,539.8,532.55
25,1555416696.837451,373.0,527.0,553.0,468.0,154.0,242.0,534.4,530.45
26,1555416696.906476,631.0,622.0,516.0,468.0,154.0,226.0,541.1,535.5
27,1555416696.9841166,576.0,483.0,454.0,468.0,156.0,196.0,544.45,534.2
28,1555416697.0637348,641.0,490.0,451.0,468.0,156.0,196.0,551.0,532.45
29,1555416697.144596,550.0,572.0,537.0,468.0,156.0,196.0,553.0,534.7
30,1555416697.2141747,521.0,438.0,518.0,468.0,201.0,196.0,553.2,528.55
31,1555416697.284082,540.0,420.0,457.0,468.0,219.0,183.0,554.95,523.95
32,1555416697.3634799,522.0,438.0,458.0,468.0,219.0,152.0,555.95,520.1
33,1555416697.4374082,532.0,539.0,500.0,468.0,219.0,143.0,557.75,522.15
34,1555416697.5096824,498.0,557.0,527.0,468.0,219.0,143.0,558.2,525.55
35,1555416697.582783,485.0,548.0,540.0,468.0,219.0,143.0,557.6,526.2
36,1555416697.6712177,441.0,484.0,539.0,468.0,219.0,143.0,553.0,523.7
37,1555416697.7467997,477.0,457.0,507.0,468.0,219.0,143.0,548.85,522.3
38,1555416697.8150394,518.0,444.0,514.0,468.0,219.0,121.0,548.1,520.2
39,1555416697.884656,502.0,460.0,502.0,436.0,219.0,121.0,531.15,518.4
40,1555416697.958343,467.0,464.0,523.0,268.0,202.0,121.0,514.05,509.65
41,1555416698.0395164,482.0,485.0,553.0,268.0,202.0,121.0,507.2,503.15
42,1555416698.1125896,456.0,373.0,542.0,268.0,249.0,121.0,499.95,492.1
43,1555416698.1851969,462.0,401.0,536.0,268.0,249.0,121.0,503.05,485.6
44,1555416698.2676508,504.0,440.0,525.0,268.0,249.0,102.0,508.9,482.1
45,1555416698.3409107,525.0,492.0,474.0,200.0,249.0,102.0,516.5,480.35
46,1555416698.426872,578.0,485.0,469.0,200.0,199.0,102.0,513.85,473.5
47,1555416698.5012405,615.0,554.0,496.0,200.0,199.0,102.0,515.8,477.05
48,1555416698.5793836,545.0,605.0,543.0,174.0,232.0,96.0,511.0,482.8
49,1555416698.6615157,466.0,494.0,543.0,174.0,232.0,96.0,506.8,478.9
50,1555416698.7306905,566.0,519.0,521.0,174.0,232.0,96.0,509.05,482.95
51,1555416698.8227792,513.0,511.0,515.0,174.0,232.0,95.0,507.7,487.5
52,1555416698.892998,440.0,355.0,503.0,175.0,250.0,84.0,503.6,483.35
53,1555416698.9703488,401.0,311.0,505.0,214.0,294.0,84.0,497.05,471.95
54,1555416699.0601473,463.0,433.0,495.0,214.0,294.0,84.0,495.3,465.75
55,1555416699.1390042,451.0,461.0,467.0,214.0,294.0,86.0,493.6,461.4
56,1555416699.217665,439.0,456.0,462.0,214.0,294.0,91.0,493.5,460.0
57,1555416699.2970116,385.0,485.0,415.0,230.0,294.0,138.0,488.9,461.4
58,1555416699.3712878,367.0,508.0,473.0,248.0,294.0,138.0,481.35,464.6
59,1555416699.44846,369.0,548.0,499.0,248.0,294.0,138.0,474.7,469.0
60,1555416699.5233498,391.0,507.0,543.0,248.0,294.0,138.0,470.9,471.15
61,1555416699.6135364,257.0,517.0,549.0,358.0,294.0,134.0,459.65,472.75
62,1555416699.7087765,652.0,654.0,532.0,395.0,343.0,134.0,469.45,486.8
63,1555416699.7789724,689.0,621.0,507.0,432.0,343.0,134.0,480.8,497.8
64,1555416699.8506262,648.0,585.0,496.0,432.0,343.0,134.0,488.0,505.05
65,1555416699.9405508,534.0,502.0,481.0,432.0,343.0,134.0,488.45,505.55
66,1555416700.0240595,486.0,530.0,522.0,432.0,343.0,134.0,483.85,507.8
67,1555416700.0941684,481.0,598.0,541.0,432.0,343.0,134.0,477.15,510.0
68,1555416700.172413,469.0,610.0,540.0,432.0,343.0,134.0,473.35,510.25
69,1555416700.2476342,464.0,639.0,533.0,432.0,343.0,134.0,473.25,517.5
70,1555416700.3200934,490.0,604.0,483.0,432.0,343.0,134.0,469.45,521.75
71,1555416700.3987775,505.0,559.0,461.0,432.0,343.0,134.0,469.05,524.15
72,1555416700.4747581,529.0,592.0,475.0,432.0,343.0,134.0,473.5,536.0
73,1555416700.5603995,524.0,558.0,483.0,432.0,221.0,134.0,479.65,548.35
74,1555416700.6435862,535.0,532.0,506.0,432.0,198.0,134.0,483.25,553.3
75,1555416700.7378032,546.0,490.0,494.0,432.0,198.0,134.0,488.0,554.75
76,1555416700.8100162,547.0,507.0,493.0,432.0,169.0,134.0,493.4,557.3
77,1555416700.8860292,555.0,520.0,478.0,432.0,164.0,88.0,501.9,559.05
78,1555416700.9632783,547.0,506.0,514.0,432.0,164.0,88.0,510.9,558.95
79,1555416701.0390284,547.0,506.0,514.0,432.0,164.0,88.0,519.8,556.85
80,1555416701.110051,509.0,496.0,519.0,432.0,164.0,88.0,525.7,556.3
81,1555416701.1984408,517.0,588.0,505.0,225.0,164.0,80.0,538.7,559.85
82,1555416701.2769198,499.0,494.0,479.0,225.0,149.0,80.0,531.05,551.85
83,1555416701.35832,504.0,526.0,513.0,184.0,149.0,80.0,521.8,547.1
84,1555416701.445235,507.0,520.0,553.0,91.0,149.0,92.0,514.75,543.85
85,1555416701.533055,499.0,499.0,545.0,91.0,149.0,92.0,513.0,543.7
86,1555416701.6231668,502.0,439.0,526.0,91.0,200.0,92.0,513.8,539.15
87,1555416701.692605,512.0,488.0,547.0,91.0,200.0,92.0,515.35,533.65
88,1555416701.7809913,509.0,496.0,519.0,91.0,200.0,92.0,517.35,527.95
89,1555416701.882189,499.0,494.0,479.0,65.0,165.0,92.0,519.1,520.7
90,1555416701.9632168,504.0,526.0,513.0,56.0,153.0,92.0,519.8,516.8
91,1555416702.036722,499.0,499.0,545.0,56.0,153.0,78.0,519.5,513.8
92,1555416702.1110497,499.0,499.0,545.0,56.0,149.0,75.0,518.0,509.15
93,1555416702.1887648,502.0,439.0,526.0,56.0,149.0,75.0,516.9,503.2
94,1555416702.2663677,509.0,496.0,519.0,56.0,149.0,75.0,515.6,501.4
95,1555416702.3522108,517.0,588.0,505.0,56.0,149.0,75.0,514.15,506.3
96,1555416702.4327538,499.0,494.0,479.0,56.0,149.0,75.0,511.75,505.65
97,1555416702.5109403,507.0,520.0,553.0,48.0,149.0,74.0,509.35,505.65
98,1555416702.5806615,499.0,499.0,545.0,48.0,149.0,74.0,506.95,505.3
99,1555416702.6695936,531.0,570.0,517.0,32.0,149.0,74.0,506.15,508.5
100,1555416702.7512197,508.0,527.0,500.0,32.0,149.0,74.0,506.1,510.05
101,1555416702.8268979,509.0,527.0,521.0,32.0,149.0,74.0,505.7,507.0
102,1555416702.8984237,512.0,561.0,540.0,32.0,149.0,74.0,506.35,510.35
103,1555416702.9780593,492.0,551.0,532.0,39.0,149.0,74.0,505.75,511.6
104,1555416703.0551493,504.0,616.0,510.0,39.0,177.0,74.0,505.6,516.4
105,1555416703.12962,519.0,589.0,512.0,39.0,177.0,74.0,506.6,520.9
106,1555416703.202392,511.0,487.0,536.0,39.0,177.0,74.0,507.05,523.3
107,1555416703.2835445,514.0,491.0,512.0,39.0,177.0,74.0,507.15,523.45
108,1555416703.3651564,513.0,536.0,518.0,39.0,177.0,74.0,507.35,525.45
109,1555416703.4432273,534.0,509.0,481.0,42.0,177.0,74.0,509.1,526.2
110,1555416703.527875,516.0,453.0,486.0,42.0,177.0,74.0,509.7,522.55
111,1555416703.6033695,508.0,476.0,504.0,42.0,177.0,74.0,510.15,521.4
112,1555416703.6844397,513.0,548.0,474.0,42.0,177.0,79.0,510.85,523.85
113,1555416703.7655108,505.0,520.0,463.0,42.0,163.0,90.0,511.0,527.9
114,1555416703.8456278,515.0,574.0,478.0,42.0,163.0,90.0,511.3,531.8
115,1555416703.9160984,518.0,565.0,547.0,42.0,163.0,90.0,511.35,530.65
116,1555416704.009268,510.0,458.0,527.0,42.0,163.0,90.0,511.9,528.85
117,1555416704.0981045,513.0,494.0,507.0,42.0,163.0,84.0,512.2,527.55
118,1555416704.1804564,513.0,513.0,528.0,42.0,163.0,84.0,512.9,528.25
119,1555416704.260111,518.0,511.0,518.0,42.0,163.0,84.0,512.25,525.3
120,1555416704.3311253,527.0,450.0,501.0,42.0,166.0,84.0,513.2,521.45
121,1555416704.4092002,511.0,523.0,498.0,42.0,166.0,84.0,513.3,521.25
122,1555416704.4826918,504.0,483.0,499.0,42.0,166.0,84.0,512.9,517.35
123,1555416704.5793788,513.0,456.0,477.0,30.0,166.0,84.0,513.95,512.6
124,1555416704.6580796,507.0,500.0,480.0,30.0,139.0,84.0,514.1,506.8
125,1555416704.7388813,496.0,469.0,475.0,38.0,124.0,84.0,512.95,500.8
126,1555416704.8262966,504.0,507.0,511.0,38.0,124.0,84.0,512.6,501.8
127,1555416704.9108665,503.0,531.0,514.0,38.0,124.0,84.0,512.05,503.8
128,1555416704.9942417,501.0,494.0,510.0,38.0,124.0,84.0,511.45,501.7
129,1555416705.0682216,505.0,487.0,500.0,31.0,124.0,84.0,510.0,500.6
130,1555416705.1510415,508.0,488.0,497.0,31.0,124.0,84.0,509.6,502.35
131,1555416705.2338977,509.0,515.0,482.0,31.0,124.0,84.0,509.65,504.3
132,1555416705.3135846,500.0,514.0,492.0,31.0,124.0,84.0,509.0,502.6
133,1555416705.3854988,541.0,607.0,506.0,45.0,157.0,72.0,510.8,506.95
134,1555416705.479271,514.0,500.0,517.0,45.0,157.0,72.0,510.75,503.25
135,1555416705.5557241,506.0,507.0,500.0,45.0,157.0,53.0,510.15,500.35
136,1555416705.6326509,504.0,575.0,518.0,45.0,157.0,53.0,509.85,506.2
137,1555416705.7006745,507.0,552.0,523.0,45.0,157.0,53.0,509.55,509.1
138,1555416705.770114,512.0,545.0,515.0,45.0,157.0,48.0,509.5,510.7
139,1555416705.8410122,506.0,465.0,511.0,45.0,157.0,48.0,508.9,508.4
140,1555416705.9278243,503.0,475.0,506.0,45.0,151.0,48.0,507.7,509.65
141,1555416706.0192244,502.0,496.0,503.0,45.0,151.0,48.0,507.25,508.3
142,1555416706.1012776,517.0,587.0,535.0,45.0,151.0,60.0,507.9,513.5
143,1555416706.194178,490.0,550.0,511.0,51.0,142.0,60.0,506.75,518.2
144,1555416706.2830381,508.0,498.0,497.0,51.0,142.0,60.0,506.8,518.1
145,1555416706.3522606,507.0,540.0,498.0,51.0,142.0,53.0,507.35,521.65
146,1555416706.4362068,518.0,557.0,516.0,51.0,142.0,53.0,508.05,524.15
147,1555416706.5161183,517.0,638.0,507.0,51.0,173.0,53.0,508.75,529.5
148,1555416706.5948644,503.0,583.0,505.0,51.0,173.0,53.0,508.85,533.95
149,1555416706.679611,506.0,573.0,511.0,51.0,173.0,53.0,508.9,538.25
150,1555416706.7807925,507.0,537.0,521.0,51.0,173.0,53.0,508.85,540.7
151,1555416706.8546944,502.0,435.0,499.0,51.0,203.0,43.0,508.5,536.7
152,1555416706.9291925,518.0,501.0,514.0,51.0,203.0,38.0,509.4,536.05
153,1555416707.002774,499.0,509.0,503.0,28.0,203.0,38.0,507.3,531.15
154,1555416707.072198,503.0,483.0,516.0,28.0,203.0,38.0,506.75,530.3
155,1555416707.167417,507.0,525.0,525.0,28.0,203.0,38.0,506.8,531.2
156,1555416707.249948,532.0,481.0,535.0,42.0,203.0,38.0,508.2,526.5
157,1555416707.3451595,496.0,543.0,504.0,42.0,203.0,38.0,507.65,526.05
158,1555416707.4247189,512.0,553.0,505.0,42.0,203.0,38.0,507.65,526.45
159,1555416707.5068223,514.0,487.0,512.0,42.0,203.0,38.0,508.05,527.55
160,1555416707.5980244,504.0,419.0,515.0,42.0,219.0,38.0,508.1,524.75
161,1555416707.6955805,508.0,460.0,506.0,42.0,219.0,38.0,508.4,522.95
162,1555416707.7729168,501.0,501.0,511.0,42.0,219.0,38.0,507.6,518.65
163,1555416707.8705688,505.0,536.0,532.0,36.0,219.0,38.0,508.35,517.95
164,1555416707.9437373,517.0,501.0,524.0,36.0,219.0,37.0,508.8,518.1
165,1555416708.025881,497.0,444.0,499.0,36.0,219.0,36.0,508.3,513.3
166,1555416708.096959,505.0,495.0,509.0,36.0,219.0,36.0,507.65,510.2
167,1555416708.1674514,514.0,558.0,503.0,36.0,164.0,36.0,507.5,506.2
168,1555416708.2378035,506.0,530.0,493.0,36.0,154.0,42.0,507.65,503.55
169,1555416708.3086085,506.0,451.0,500.0,36.0,139.0,42.0,507.65,497.45
170,1555416708.3771896,505.0,464.0,498.0,36.0,139.0,42.0,507.55,493.8
171,1555416708.449027,501.0,482.0,534.0,36.0,139.0,42.0,507.5,496.15
172,1555416708.5248888,499.0,458.0,534.0,36.0,139.0,42.0,506.55,494.0
173,1555416708.5984948,498.0,455.0,520.0,36.0,139.0,42.0,506.5,491.3
174,1555416708.6842515,516.0,564.0,594.0,36.0,145.0,101.0,507.15,495.35
175,1555416708.7733033,506.0,543.0,550.0,36.0,145.0,101.0,507.1,496.25
176,1555416708.8543708,517.0,572.0,491.0,21.0,153.0,103.0,506.35,500.8
177,1555416708.938198,508.0,651.0,490.0,20.0,232.0,104.0,506.95,506.2
178,1555416709.0124073,499.0,677.0,530.0,20.0,258.0,104.0,506.3,512.4
