,unixtime,emg0,emg1,emg0_ampl,emg1_ampl,emg0_med,emg1_med
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1555413428.9104307,535.0,611.0,535.0,611.0,26.75,30.55
2,1555413428.9714653,535.0,619.0,535.0,619.0,53.5,61.5
3,1555413429.0383668,482.0,395.0,535.0,619.0,77.6,81.25
4,1555413429.1162555,496.0,476.0,535.0,619.0,102.4,105.05
5,1555413429.1774352,487.0,448.0,535.0,619.0,126.75,127.45
6,1555413429.249141,515.0,576.0,535.0,619.0,152.5,156.25
7,1555413429.320433,512.0,500.0,535.0,619.0,178.1,181.25
8,1555413429.3820152,503.0,491.0,535.0,619.0,203.25,205.8
9,1555413429.444457,515.0,551.0,535.0,619.0,229.0,233.35
10,1555413429.5092304,495.0,500.0,535.0,619.0,253.75,258.35
11,1555413429.5861754,476.0,344.0,535.0,619.0,277.55,275.55
12,1555413429.6512527,486.0,441.0,535.0,619.0,301.85,297.6
13,1555413429.7149236,493.0,430.0,535.0,619.0,326.5,319.1
14,1555413429.788829,523.0,464.0,535.0,619.0,352.65,342.3
15,1555413429.8535705,517.0,513.0,535.0,619.0,378.5,367.95
16,1555413429.9167104,509.0,525.0,535.0,619.0,403.95,394.2
17,1555413429.9847093,516.0,488.0,535.0,619.0,429.75,418.6
18,1555413430.0493655,528.0,531.0,535.0,619.0,456.15,445.15
19,1555413430.1179945,537.0,542.0,537.0,619.0,483.0,472.25
20,1555413430.1847343,499.0,455.0,61.0,275.0,507.95,495.0
21,1555413430.250563,500.0,528.0,61.0,275.0,506.2,490.85
22,1555413430.3186429,514.0,598.0,61.0,254.0,505.15,489.8
23,1555413430.387992,512.0,693.0,61.0,349.0,506.65,504.7
24,1555413430.4649348,503.0,597.0,61.0,349.0,507.0,510.75
25,1555413430.528894,498.0,444.0,61.0,349.0,507.55,510.55
26,1555413430.603965,479.0,357.0,61.0,349.0,505.75,499.6
27,1555413430.668785,477.0,339.0,61.0,354.0,504.0,491.55
28,1555413430.7319229,478.0,381.0,61.0,354.0,502.75,486.05
29,1555413430.7957764,507.0,414.0,61.0,354.0,502.35,479.2
30,1555413430.8699322,518.0,485.0,61.0,354.0,503.5,478.45
31,1555413430.942073,499.0,605.0,60.0,354.0,504.65,491.5
32,1555413431.0066414,510.0,515.0,60.0,354.0,505.85,495.2
33,1555413431.089348,499.0,539.0,60.0,354.0,506.15,500.65
34,1555413431.162477,483.0,455.0,60.0,354.0,504.15,500.2
35,1555413431.2332532,493.0,442.0,60.0,354.0,502.95,496.65
