,unixtime,emg0,emg1
0,1555408992.0067065,576.0,530.0
1,1555408992.058595,562.0,532.0
2,1555408992.1115482,546.0,551.0
3,1555408992.1672587,487.0,536.0
4,1555408992.221316,548.0,497.0
5,1555408992.2771773,523.0,501.0
6,1555408992.3303359,513.0,540.0
7,1555408992.3840833,494.0,517.0
8,1555408992.4371676,512.0,523.0
9,1555408992.488489,484.0,516.0
10,1555408992.5398445,471.0,513.0
11,1555408992.5919435,508.0,489.0
12,1555408992.6451545,520.0,515.0
13,1555408992.6977367,508.0,502.0
14,1555408992.7519207,489.0,497.0
15,1555408992.8045034,459.0,497.0
16,1555408992.8571577,440.0,464.0
17,1555408992.9089465,443.0,508.0
18,1555408992.9609556,443.0,508.0
19,1555408993.0127473,383.0,500.0
20,1555408993.0666742,396.0,503.0
21,1555408993.1206431,549.0,499.0
22,1555408993.1734025,559.0,499.0
23,1555408993.2261055,546.0,502.0
24,1555408993.2864456,546.0,502.0
25,1555408993.3421476,515.0,501.0
26,1555408993.3943322,504.0,499.0
27,1555408993.4476833,491.0,505.0
28,1555408993.499112,472.0,506.0
29,1555408993.5514348,483.0,505.0
30,1555408993.6042557,496.0,434.0
31,1555408993.6591673,500.0,494.0
32,1555408993.7115793,477.0,519.0
33,1555408993.766907,423.0,486.0
34,1555408993.8244538,545.0,538.0
35,1555408993.8792453,363.0,599.0
36,1555408993.93105,212.0,518.0
37,1555408993.9837403,346.0,522.0
38,1555408994.0355814,455.0,492.0
39,1555408994.087314,759.0,489.0
40,1555408994.1459007,418.0,466.0
41,1555408994.2025614,154.0,478.0
42,1555408994.2598522,477.0,454.0
43,1555408994.3113172,685.0,505.0
44,1555408994.3641415,838.0,547.0
45,1555408994.421921,780.0,519.0
46,1555408994.4738193,641.0,489.0
47,1555408994.534211,698.0,496.0
48,1555408994.585624,686.0,479.0
49,1555408994.6409376,569.0,525.0
50,1555408994.6938133,534.0,498.0
51,1555408994.7461553,432.0,394.0
52,1555408994.7998238,428.0,428.0
53,1555408994.8577878,560.0,450.0
54,1555408994.9098725,560.0,450.0
55,1555408994.9618244,895.0,519.0
56,1555408995.0132322,276.0,495.0
57,1555408995.0647018,572.0,467.0
58,1555408995.1175334,517.0,504.0
59,1555408995.1729562,563.0,505.0
60,1555408995.2319937,365.0,532.0
61,1555408995.2871752,418.0,547.0
62,1555408995.3391085,437.0,522.0
63,1555408995.3931918,457.0,528.0
64,1555408995.4451752,534.0,517.0
65,1555408995.496622,540.0,543.0
66,1555408995.5486672,540.0,543.0
67,1555408995.607156,578.0,566.0
68,1555408995.660517,528.0,562.0
69,1555408995.712849,510.0,489.0
70,1555408995.765237,515.0,520.0
71,1555408995.8181903,486.0,488.0
72,1555408995.8736048,470.0,411.0
73,1555408995.9280376,423.0,396.0
74,1555408995.979834,431.0,419.0
75,1555408996.0316405,431.0,419.0
76,1555408996.0838206,500.0,533.0
77,1555408996.1377113,527.0,495.0
78,1555408996.1914983,498.0,521.0
79,1555408996.247028,514.0,484.0
80,1555408996.2992632,514.0,484.0
81,1555408996.3556287,469.0,495.0
82,1555408996.4097471,469.0,495.0
83,1555408996.4658098,514.0,515.0
84,1555408996.5190277,507.0,530.0
85,1555408996.573132,508.0,557.0
86,1555408996.6244555,447.0,519.0
87,1555408996.6759348,500.0,533.0
88,1555408996.7372785,527.0,495.0
89,1555408996.7903364,498.0,521.0
90,1555408996.8423223,514.0,484.0
91,1555408996.8979702,493.0,483.0
