,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
0,1555416377.3916578,529.0,498.0,509.0,35.0,59.0,90.0,511.5,506.45
1,1555416377.4541936,517.0,521.0,529.0,35.0,59.0,90.0,511.8,507.55
2,1555416377.5195045,510.0,495.0,507.0,35.0,59.0,90.0,511.4,507.6
3,1555416377.5850012,483.0,517.0,512.0,46.0,59.0,90.0,510.1,508.75
4,1555416377.658378,512.0,513.0,535.0,46.0,47.0,90.0,510.35,507.15
5,1555416377.7263904,510.0,506.0,533.0,46.0,47.0,77.0,511.15,507.4
6,1555416377.7922833,502.0,498.0,518.0,46.0,47.0,75.0,510.75,506.35
7,1555416377.870587,505.0,510.0,529.0,46.0,47.0,48.0,510.55,506.8
8,1555416377.9463885,520.0,507.0,510.0,46.0,47.0,48.0,511.15,507.1
9,1555416378.0092661,485.0,506.0,506.0,46.0,47.0,48.0,509.85,507.65
10,1555416378.074412,510.0,492.0,499.0,46.0,47.0,49.0,509.75,507.05
11,1555416378.1378052,508.0,514.0,546.0,46.0,47.0,47.0,509.35,507.85
12,1555416378.2012432,510.0,515.0,516.0,46.0,47.0,47.0,509.35,508.65
13,1555416378.2670784,509.0,545.0,514.0,46.0,59.0,47.0,509.9,511.1
14,1555416378.332738,506.0,537.0,535.0,46.0,59.0,47.0,509.9,512.1
15,1555416378.3960354,501.0,489.0,512.0,46.0,59.0,47.0,508.6,510.5
16,1555416378.476679,511.0,515.0,515.0,46.0,59.0,47.0,508.55,509.6
17,1555416378.5478532,527.0,510.0,541.0,46.0,59.0,47.0,509.75,509.6
18,1555416378.616197,540.0,496.0,495.0,57.0,59.0,51.0,510.5,508.5
19,1555416378.6972075,504.0,498.0,505.0,57.0,56.0,51.0,509.95,509.1
20,1555416378.7669027,499.0,516.0,522.0,57.0,56.0,51.0,508.45,510.0
21,1555416378.8308253,522.0,468.0,506.0,57.0,77.0,51.0,508.7,507.35
22,1555416378.899279,523.0,515.0,502.0,57.0,77.0,51.0,509.35,508.35
23,1555416378.969073,524.0,527.0,513.0,55.0,77.0,51.0,511.4,508.85
24,1555416379.041123,517.0,516.0,497.0,55.0,77.0,51.0,511.65,509.0
25,1555416379.1131833,496.0,525.0,499.0,55.0,77.0,51.0,510.95,509.95
26,1555416379.1857893,515.0,496.0,521.0,55.0,77.0,51.0,511.6,509.85
27,1555416379.2550251,504.0,534.0,502.0,55.0,77.0,51.0,511.55,511.05
28,1555416379.3314002,509.0,540.0,525.0,55.0,77.0,51.0,511.0,512.7
29,1555416379.4005868,479.0,520.0,515.0,61.0,77.0,51.0,510.7,513.4
30,1555416379.4737606,513.0,516.0,524.0,61.0,77.0,51.0,510.85,514.6
31,1555416379.5436494,517.0,491.0,477.0,61.0,77.0,64.0,511.3,513.45
32,1555416379.6131237,514.0,505.0,514.0,61.0,77.0,64.0,511.5,512.95
33,1555416379.6837575,497.0,486.0,514.0,61.0,72.0,64.0,510.9,510.0
34,1555416379.7548544,506.0,516.0,511.0,61.0,72.0,64.0,510.9,508.95
35,1555416379.8339067,500.0,506.0,492.0,61.0,72.0,64.0,510.85,509.8
36,1555416379.9042869,538.0,515.0,505.0,61.0,72.0,64.0,512.2,509.8
37,1555416379.9766624,523.0,532.0,515.0,61.0,72.0,48.0,512.0,510.9
38,1555416380.050259,498.0,491.0,505.0,59.0,72.0,48.0,509.9,510.65
39,1555416380.1246295,501.0,517.0,515.0,59.0,72.0,48.0,509.75,511.6
40,1555416380.1968336,513.0,508.0,515.0,59.0,72.0,48.0,510.45,511.2
41,1555416380.2699125,511.0,509.0,488.0,59.0,54.0,48.0,509.9,513.25
42,1555416380.3401937,531.0,492.0,505.0,59.0,54.0,48.0,510.3,512.1
43,1555416380.4211724,515.0,482.0,504.0,59.0,58.0,48.0,509.85,509.85
44,1555416380.4903698,513.0,554.0,506.0,59.0,72.0,48.0,509.65,511.75
45,1555416380.5565479,496.0,489.0,497.0,59.0,72.0,48.0,509.65,509.95
46,1555416380.6389263,521.0,493.0,521.0,59.0,72.0,48.0,509.95,509.8
47,1555416380.7200334,491.0,498.0,500.0,59.0,72.0,48.0,509.3,508.0
48,1555416380.7949004,516.0,500.0,486.0,59.0,72.0,47.0,509.65,506.0
49,1555416380.8651633,498.0,522.0,529.0,47.0,72.0,52.0,510.6,506.1
50,1555416380.9466958,513.0,537.0,532.0,47.0,72.0,55.0,510.6,507.15
51,1555416381.0210834,517.0,543.0,495.0,47.0,72.0,46.0,510.6,509.75
52,1555416381.1002853,499.0,514.0,503.0,47.0,72.0,46.0,509.85,510.2
53,1555416381.1778533,517.0,498.0,511.0,47.0,72.0,46.0,510.85,510.8
54,1555416381.256666,508.0,511.0,492.0,47.0,72.0,46.0,510.95,510.55
55,1555416381.3434713,510.0,508.0,524.0,47.0,72.0,46.0,511.45,510.65
56,1555416381.4124243,477.0,515.0,528.0,54.0,72.0,46.0,508.4,510.65
57,1555416381.486575,507.0,528.0,525.0,54.0,72.0,46.0,507.6,510.45
58,1555416381.5587647,502.0,506.0,505.0,54.0,72.0,46.0,507.8,511.2
59,1555416381.6543045,511.0,519.0,503.0,54.0,72.0,46.0,508.3,511.3
60,1555416381.7480335,515.0,503.0,510.0,54.0,72.0,46.0,508.4,511.05
61,1555416381.8274627,515.0,529.0,520.0,54.0,72.0,46.0,508.6,512.05
62,1555416381.9065185,514.0,479.0,498.0,44.0,75.0,46.0,507.75,511.4
63,1555416381.9846816,515.0,480.0,496.0,44.0,75.0,46.0,507.75,511.3
64,1555416382.0712721,523.0,513.0,517.0,46.0,64.0,46.0,508.25,509.25
65,1555416382.1606302,500.0,512.0,487.0,46.0,64.0,46.0,508.45,510.4
66,1555416382.2371454,498.0,502.0,481.0,46.0,64.0,51.0,507.3,510.85
67,1555416382.3152583,511.0,521.0,507.0,46.0,64.0,51.0,508.3,512.0
68,1555416382.3985755,520.0,548.0,510.0,46.0,69.0,51.0,508.5,514.4
69,1555416382.4885895,515.0,503.0,493.0,46.0,69.0,51.0,509.35,513.45
70,1555416382.5646513,507.0,510.0,496.0,46.0,69.0,47.0,509.05,512.1
71,1555416382.6432657,508.0,500.0,511.0,46.0,69.0,47.0,508.6,509.95
72,1555416382.7212398,495.0,501.0,512.0,46.0,69.0,47.0,508.4,509.3
73,1555416382.7993805,522.0,512.0,528.0,46.0,69.0,47.0,508.65,510.0
74,1555416382.9171755,499.0,523.0,503.0,46.0,69.0,47.0,508.2,510.6
75,1555416382.9905975,506.0,505.0,502.0,46.0,69.0,47.0,508.0,510.45
76,1555416383.0622654,506.0,556.0,524.0,28.0,77.0,47.0,509.45,512.5
77,1555416383.1380935,512.0,523.0,510.0,28.0,77.0,47.0,509.7,512.25
78,1555416383.221172,499.0,486.0,520.0,28.0,77.0,47.0,509.55,511.25
79,1555416383.3011992,500.0,501.0,514.0,28.0,77.0,47.0,509.0,510.35
80,1555416383.386362,511.0,503.0,494.0,28.0,77.0,47.0,508.8,510.35
81,1555416383.4702399,517.0,502.0,497.0,28.0,77.0,47.0,508.9,509.0
82,1555416383.543735,513.0,486.0,519.0,28.0,76.0,47.0,508.85,509.35
83,1555416383.6130517,507.0,489.0,492.0,28.0,70.0,47.0,508.45,509.8
84,1555416383.6864681,501.0,535.0,506.0,27.0,70.0,47.0,507.35,510.9
85,1555416383.7591126,503.0,494.0,510.0,27.0,70.0,47.0,507.5,510.0
86,1555416383.8327184,506.0,496.0,490.0,27.0,70.0,38.0,507.9,509.7
87,1555416383.9006598,491.0,513.0,516.0,31.0,70.0,38.0,506.9,509.3
88,1555416383.9728734,513.0,483.0,521.0,31.0,73.0,38.0,506.55,506.05
89,1555416384.047719,513.0,513.0,516.0,31.0,73.0,38.0,506.45,506.55
90,1555416384.1324553,520.0,497.0,483.0,31.0,73.0,45.0,507.1,505.9
91,1555416384.2201247,491.0,528.0,524.0,31.0,73.0,45.0,506.25,507.3
92,1555416384.2913744,496.0,521.0,533.0,31.0,73.0,50.0,506.3,508.3
93,1555416384.3760073,505.0,515.0,512.0,29.0,73.0,50.0,505.45,508.45
94,1555416384.4690936,509.0,515.0,527.0,29.0,73.0,50.0,505.95,508.05
95,1555416384.5469272,503.0,532.0,517.0,29.0,73.0,50.0,505.8,509.4
96,1555416384.6171534,500.0,503.0,515.0,29.0,52.0,50.0,505.5,506.75
97,1555416384.6987777,508.0,539.0,518.0,29.0,56.0,50.0,505.3,507.55
98,1555416384.7757833,511.0,499.0,505.0,29.0,56.0,50.0,505.9,508.2
